agent_uniforms_tables	9
filename	uniform_name	battle_filename	campaign_porthole_filename	campaign_politician_filename
ovn_arb_cha_champion	ovn_arb_cha_champion	ovn_arb_cha_champion	ovn_arb_cha_champion	
ovn_arb_cha_champion_guard	ovn_arb_cha_champion_guard	ovn_arb_cha_champion_guard	ovn_arb_cha_champion_guard	
ovn_arb_cha_champion_sergeant	ovn_arb_cha_champion_sergeant	ovn_arb_cha_champion_sergeant	ovn_arb_cha_champion_sergeant	
ovn_arb_cha_champion_warrior	ovn_arb_cha_champion_warrior	ovn_arb_cha_champion_warrior	ovn_arb_cha_champion_warrior	
ovn_arb_cha_nomad_assassin	ovn_arb_cha_nomad_assassin	ovn_arb_cha_nomad_assassin	ovn_arb_cha_nomad_assassin	
ovn_arb_cha_nomad_01	ovn_arb_cha_nomad_uniform_01	ovn_arb_cha_nomad_01	ovn_arb_cha_nomad_01	
ovn_arb_cha_nomad_02	ovn_arb_cha_nomad_uniform_02	ovn_arb_cha_nomad_02	ovn_arb_cha_nomad_02	
ovn_arb_cha_nomad_03	ovn_arb_cha_nomad_uniform_03	ovn_arb_cha_nomad_03	ovn_arb_cha_nomad_03	
ovn_arb_cha_nomad_assassin_01	ovn_arb_cha_nomad_assassin_uniform_01	ovn_arb_cha_nomad_assassin_01	ovn_arb_cha_nomad_assassin_01	
ovn_arb_cha_nomad_assassin_02	ovn_arb_cha_nomad_assassin_uniform_02	ovn_arb_cha_nomad_assassin_02	ovn_arb_cha_nomad_assassin_02	
ovn_arb_cha_nomad_assassin_03	ovn_arb_cha_nomad_assassin_uniform_03	ovn_arb_cha_nomad_assassin_03	ovn_arb_cha_nomad_assassin_03	
ovn_arb_cha_nomad_jezzail_campaign_01	ovn_arb_cha_nomad_jezzail_uniform_01	ovn_arb_cha_nomad_jezzail_01	ovn_arb_cha_nomad_jezzail_01	
ovn_arb_cha_nomad_jezzail_campaign_02	ovn_arb_cha_nomad_jezzail_uniform_02	ovn_arb_cha_nomad_jezzail_02	ovn_arb_cha_nomad_jezzail_02	
ovn_arb_cha_nomad_jezzail_campaign_03	ovn_arb_cha_nomad_jezzail_uniform_03	ovn_arb_cha_nomad_jezzail_03	ovn_arb_cha_nomad_jezzail_03	
