faction_agent_permitted_subtypes_tables	0
agent	faction	subtype
general	wh2_main_nor_rotbloods	chs_sorcerer_lord_death
general	wh2_main_nor_rotbloods	chs_sorcerer_lord_fire
general	wh2_main_nor_rotbloods	chs_sorcerer_lord_metal
general	wh2_main_nor_rotbloods	chs_lord
colonel	wh2_main_nor_rotbloods	chs_lord
champion	wh2_main_nor_rotbloods	chs_exalted_hero
dignitary	wh2_main_nor_rotbloods	default
engineer	wh2_main_nor_rotbloods	default
minister	wh2_main_nor_rotbloods	default
runesmith	wh2_main_nor_rotbloods	default
spy	wh2_main_nor_rotbloods	default
wizard	wh2_main_nor_rotbloods	chs_chaos_sorcerer_death
wizard	wh2_main_nor_rotbloods	chs_chaos_sorcerer_fire
wizard	wh2_main_nor_rotbloods	chs_chaos_sorcerer_metal
wizard	wh2_main_nor_rotbloods	dlc07_chs_chaos_sorcerer_shadow
wizard	wh2_main_nor_rotbloods	rbt_blightstormer
