building_sets_tables	3
key	icon	sort_order	colour_r	colour_g	colour_b
hertz_rotblood_nurgle_building_set	UI/Buildings/Icons/skaven_cat_under_empire_discovery.png	0	90	170	90
ovn_Nehekharan	UI/Buildings/Icons/araby_cat_excavation.png	2	37	164	164
ovn_Waystone	UI/Buildings/Icons/albion_cat_waystone.png	2	37	164	164
wh_main_emp_cha_grudge_newhorde	placeholder	0	255	255	255
wh_main_emp_cha_grudge_recruit	UI/Buildings/Icons/empire_cat_recruitment.png	2	120	20	20
wh_main_emp_cha_grudge_worship	UI/Buildings/Icons/empire_cat_support.png	3	75	65	88
wh_main_emp_cha_grudge_settlement	placeholder	0	62	61	56
wh_main_emp_cha_grudge_structure	UI/Buildings/Icons/skaven_cat_under_empire_food.png	4	62	71	57
wh_main_emp_cha_grudge_equipment	UI/Buildings/Icons/grudge_empire_money.png	5	200	180	60
ovn_hlf_under_set_food	UI/Buildings/Icons/skaven_cat_under_empire_food.png	1	117	107	67
ovn_hlf_under_set_other	UI/Buildings/Icons/empire_cat_defence.png	3	72	85	73
ovn_hlf_under_set_drinks	UI/Buildings/Icons/vampire_coast_cat_smuggling_trade.png	2	77	99	115
arb_flaming_scimitar_newhorde	placeholder	0	255	255	255
arb_flaming_scimitar_main	placeholder	0	62	61	56
arb_flaming_scimitar_defence	UI/Buildings/Icons/vampire_coast_cat_defence.png	5	91	73	47
arb_flaming_scimitar_structure	UI/Buildings/Icons/vampire_coast_cat_ship_structure.png	4	62	71	57
arb_flaming_scimitar_military	UI/Buildings/Icons/vampire_coast_cat_recruitment.png	2	120	20	20
arb_flaming_scimitar_support	UI/Buildings/Icons/grudge_empire_money.png	3	75	65	88
arb_flaming_scimitar_unique	UI/Buildings/Icons/vampire_coast_cat_ship_unique.png	6	100	20	60
