land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
wh2_dlc11_lord_abilities_heart_piercing	vmp_cha_walach
wh2_dlc11_lord_passive_honour_or_death	vmp_cha_walach
wh_main_lord_passive_the_hunger	vmp_cha_walach
wh_main_unit_passive_frenzy	vmp_cha_walach
wh_main_unit_passive_unstable	vmp_cha_walach
wh_main_unit_passive_unstable_mark_ii	vmp_cha_walach
wh2_dlc11_lord_abilities_heart_piercing	vmp_cha_walach_nightmare
wh2_dlc11_lord_passive_honour_or_death	vmp_cha_walach_nightmare
wh_main_lord_passive_the_hunger	vmp_cha_walach_nightmare
wh_main_unit_passive_frenzy	vmp_cha_walach_nightmare
wh_main_unit_passive_unstable	vmp_cha_walach_nightmare
wh_main_unit_passive_unstable_mark_ii	vmp_cha_walach_nightmare
