effect_bonus_value_ids_unit_sets_tables	0
bonus_value_id	effect	unit_set
mod_land_movement_battle	elo_fimir_rusher_sp	fimir_rushers
charge_add	elo_fimir_rusher_ch	fimir_rushers
melee_attack_mod	elo_fimir_first_wave_ma	first_wave
melee_damage_mod_mult	elo_fimir_first_wave_wps	first_wave
melee_damage_ap_mod_mult	elo_fimir_first_wave_wps	first_wave
melee_damage_mod_mult	elo_fimir_bog_monsters_wps	fimir_bog_monsters
melee_damage_ap_mod_mult	elo_fimir_bog_monsters_wps	fimir_bog_monsters
melee_defence_mod	elo_fimir_bog_monsters_md	fimir_bog_monsters
melee_attack_mod	elo_fimir_swamp_warriors_ma	swamp_warriors
melee_defence_mod	elo_fimir_swamp_warriors_md	swamp_warriors
mod_land_movement_battle	elo_fimir_giants_fen_sp	fimir_giants_fen
melee_attack_mod	elo_fimir_giants_fen_ma	fimir_giants_fen
melee_defence_mod	elo_fimir_r7_warriors_md	fimir_r7_warriors
armour_mod	elo_fimir_r7_warriors_armour	fimir_r7_warriors
unit_damage_resistance_physical_mod	elo_fimir_r7_warriors_phyres	fimir_r7_warriors
unit_damage_resistance_missile_mod	elo_fimir_r7_auxillaries_missres	fimir_r7_auxillaries
melee_defence_mod	elo_fimir_r7_auxillaries_md	fimir_r7_auxillaries
morale	elo_fimir_r7_auxillaries_morale	fimir_r7_auxillaries
melee_damage_mod_mult	elo_fimir_r7_fast_wps	fimir_r7_fast
melee_damage_ap_mod_mult	elo_fimir_r7_fast_wps	fimir_r7_fast
melee_attack_mod	elo_fimir_r7_fast_ma	fimir_r7_fast
charge_add	elo_fimir_r7_fast_ch	fimir_r7_fast
unit_damage_resistance_all_mod	elo_fimir_r7_giants_ward	fimir_r7_giants
melee_damage_mod_mult	elo_fimir_r7_giants_wps	fimir_r7_giants
melee_damage_ap_mod_mult	elo_fimir_r7_giants_wps	fimir_r7_giants
armour_mod	elo_fimir_r7_giants_armour	fimir_r7_giants
upkeep_mod	fimir_slaves_upkeep	fimir_slaves
cost_mod	fimir_slaves_cost	fimir_slaves
unit_xp_mod	fimir_warrior_elite_xp	fimir_warrior_caste
melee_defence_mod	fimir_warrior_elite_md	fimir_warrior_caste
upkeep_mod	fimir_warrior_elite_up	fimir_warrior_caste
cost_mod	fimir_warrior_elite_cost	fimir_warrior_caste
melee_damage_mod_mult	fimir_warrior_elite_wps	fimir_warrior_caste
melee_damage_ap_mod_mult	fimir_warrior_elite_wps	fimir_warrior_caste
armour_mod	fimir_warrior_elite_armour	fimir_warrior_caste
melee_attack_mod	dlc08_nor_fimirs_ma	dlc08_nor_fimirs
upkeep_mod	dlc08_nor_fimirs_up	dlc08_nor_fimirs
melee_defence_mod	elo_fimir_shearl_md	elo_fimir_shearl
melee_attack_mod	elo_fimir_shearl_ma	elo_fimir_shearl
melee_damage_mod_mult	elo_fimir_useful_shearls_wps	elo_fimir_useful_shearls
melee_damage_ap_mod_mult	elo_fimir_useful_shearls_wps	elo_fimir_useful_shearls
charge_bonus	elo_fimir_useful_shearls_charge	elo_fimir_useful_shearls
ammo_mod	elo_fimir_useful_shearls_ammo	elo_fimir_useful_shearls
missile_damage_ap_mod_mult	elo_fimir_useful_shearls_mdmg	elo_fimir_useful_shearls
missile_damage_mod_mult	elo_fimir_useful_shearls_mdmg	elo_fimir_useful_shearls
missile_damage_ap_mod_mult	elo_fimir_apprentices_mdmg	elo_fimir_apprentices
missile_damage_mod_mult	elo_fimir_apprentices_mdmg	elo_fimir_apprentices
reload	elo_fimir_apprentices_reload	elo_fimir_apprentices
range_mod	elo_fimir_apprentices_range	elo_fimir_apprentices
replenishment_percentage_bonus	elo_low_level_swamp_dwellers_rep	elo_low_level_swamp_dwellers
mod_land_movement_battle	elo_low_level_swamp_dwellers_speed	elo_low_level_swamp_dwellers
