ancillaries_required_skills_tables	1
ancillary	required_skill	required_skill_level
elo_carrion_boss_squig	elo_carrion_boss_squig	1
ovn_anc_weapon_glammyding	ovn_skill_anc_weapon_glammyding	1
ovn_anc_talisman_bottomless_hat_of_rabbit	ovn_skill_anc_talisman_bottomless_hat_of_rabbit	1
ovn_anc_arcane_item_cathay_fireworks	ovn_skill_anc_arcane_item_cathay_fireworks	1
ovn_anc_weapon_aragands_sword	ovn_skill_anc_weapon_aragands_sword	1
ovn_anc_enchanted_item_pig_swill	ovn_skill_anc_enchanted_item_pig_swill	1
ovn_anc_talisman_friendship_bracelet_legles	ovn_skill_anc_weapon_friendship_bracelet_legles	1
ovn_anc_enchanted_item_ring_of_concealment	ovn_skill_anc_enchanted_item_ring_of_concealment	1
ovn_anc_talisman_friendship_bracelet_giblit	ovn_skill_anc_weapon_friendship_bracelet_giblit	1
ovn_anc_enchanted_item_bimbos_book	ovn_skill_anc_enchanted_item_bimbos_book	1
ovn_anc_mount_arb_magician_life_magic_carpet	ovn_skill_arb_magician_unique_magician_life_magic_carpet	1
ovn_anc_mount_arb_magician_life_djinn_vessel	ovn_skill_arb_magician_unique_magician_life_djinn_vessel	1
ovn_anc_mount_arb_magician_desert_magic_carpet	ovn_skill_arb_magician_unique_magician_desert_magic_carpet	1
ovn_anc_mount_arb_magician_desert_djinn_vessel	ovn_skill_arb_magician_unique_magician_desert_djinn_vessel	1
ovn_anc_mount_arb_magician_fire_magic_carpet	ovn_skill_arb_magician_unique_magician_fire_magic_carpet	1
ovn_anc_mount_arb_magician_fire_djinn_vessel	ovn_skill_arb_magician_unique_magician_fire_djinn_vessel	1
ovn_anc_mount_arb_magician_heavens_magic_carpet	ovn_skill_arb_magician_unique_magician_heavens_magic_carpet	1
ovn_anc_mount_arb_magician_heavens_djinn_vessel	ovn_skill_arb_magician_unique_magician_heavens_djinn_vessel	1
dread_zombie_dragon	dread_zombie_dragon	1
Soulreaper	Soulreaper	1
Serpent_Staff	Serpent_Staff	1
Black_Book_Of_Ibn_Naggazar	Black_Book_Of_Ibn_Naggazar	1
aky_chief_wolf_terrorgheist	aky_chief_wolf_terrorgheist	1
roy_anc_mount_arb_nomad_horse	roy_skill_nomad_mount_warhorse	1
roy_anc_mount_arb_champion_horse	roy_skill_champion_mount_horse	1
roy_anc_mount_arb_champion_warhorse	roy_skill_champion_mount_warhorse	1
roy_anc_mount_arb_champion_elephant	roy_skill_champion_mount_elephant	1
roy_anc_mount_arb_lord_horse	ovn_skill_arb_lord_mount_horse	1
roy_anc_mount_arb_nomad_assassin	roy_skill_nomad_mount_assassin	1
roy_anc_mount_arb_nomad_horse_jezzail	roy_skill_nomad_jezzail	1
sword	sword	1
Helm	Helm	1
Talisman	Talisman	1
Mount	Mount	1
Mount_Elephant	Mount_Elephant	1
rattlesnake_staff	rattlesnake_staff	1
mount_horse_warleader	warleader_mount_skill	1
mount_chariot_warleader	warleader_chariot_skill	1
mount_horse_truthsayer_beasts	mount_horse_truthsayer_beasts_skill	1
mount_horse_truthsayer_light	mount_horse_truthsayer_light_skill	1
mount_horse_truthsayer_life	mount_horse_truthsayer_life_skill	1
mount_horse_truthsayer_truth	mount_horse_truthsayer_truth_skill	1
mount_horse_chief	chief_mount_skill	1
mount_chariot_chief	chief_chariot_skill	1
mount_horse_wyrd	wyrd_mount_skill	1
mount_raven_morrigan	morrigan_raven_skill	1
anc_morrigan_staff	morrigan_legendary_staff	1
elo_staff_of_dural_durak	elo_staff_of_dural_durak	1
elo_amulet_old_ones	elo_amulet_old_ones	1
dural_mount_horse	dural_mount_horse	1
dural_mount_chariot	dural_mount_chariot	1
dread_chariot_skeletal_steed	dread_chariot_skeletal_steed	1
dread_legion_barded_skeletal_steed	dread_legion_barded_skeletal_steed	1
elo_dread_centurion_horse	elo_dread_centurion_horse	1
luthor_the_hunchback	luthor_the_hunchback	1
mount_barded_skeletal_steed_liche	mount_barded_skeletal_steed_liche	1
mount_chariot_liche	mount_chariot_liche	1
mount_warsphinx_liche	mount_warsphinx_liche	1
mount_chariot_hand_of_nagash	mount_chariot_hand_of_nagash	1
elo_hand_punished_one	elo_hand_punished_one	1
elo_hungering_blade	elo_hungering_blade	1
anc_adventurer_trinkets	ugma_trinkets	1
anc_resevoir_stone	resevoir_stone_hammer	1
hlf_staff	hlf_staff	1
hlf_robe	hlf_robe	1
grudge_anc_rune_rune_of_fury	grudge_skill_rune_of_fury	1
grudge_anc_rune_rune_of_might	grudge_skill_rune_of_might	1
grudge_anc_rune_rune_of_parrying	grudge_skill_rune_of_parrying	1
grudge_anc_rune_rune_of_striking	grudge_skill_rune_of_striking	1
grudge_item_horn_of_urgok	grudge_skill_horn_of_urgok	1
grudge_item_grudgebringer_sword	grudge_skill_grudgebringer_sword	1
grudge_item_hellfire_sword	grudge_skill_hellfire_sword	1
grudge_item_storm_sword	grudge_skill_storm_sword	1
grudge_item_runefang	grudge_skill_runefang	1
grudge_item_enchanted_shield	grudge_skill_enchanted_shield	1
grudge_item_shield_of_ptolos	grudge_skill_shield_of_ptolos	1
grudge_item_spelleater_shield	grudge_skill_spelleater_shield	1
grudge_item_dragonhelm	grudge_skill_dragonhelm	1
grudge_item_wand_of_jet	grudge_skill_wand_of_jet	1
grudge_item_banner_of_arcane_warding	grudge_skill_banner_of_arcane_warding	1
grudge_item_banner_of_wrath	grudge_skill_banner_of_wrath	1
grudge_item_banner_of_defiance	grudge_skill_banner_of_defiance	1
ribspreader_mammoth	ribspreader_mammoth_skill	1
ovn_as_starblade	ovn_as_starblade	1
ovn_as_armour	ovn_as_armour	1
ovn_as_Hoeth_Talisman	ovn_as_Hoeth_Talisman	1
anc_sharpclaw	skill_sharpclaw	1
arb_fatandira_warhorse	arb_fatandira_anc_warhorse	1
arb_fatandira_roc	arb_fatandira_anc_roc	1
arb_fatandira_blades_demise	arb_fatandira_anc_blades_demise	1
arb_fatandira_scythan_armour	arb_fatandira_anc_scythan_armour	1
arb_golden_magus_camel_mount	arb_golden_magus_anc_camel	1
arb_golden_magus_djinnskiff_mount	arb_golden_magus_anc_djinskiff	1
wh_main_anc_mount_arb_vizier_fire_camel	arb_vizier_fire_camel	1
wh_main_anc_mount_arb_vizier_fire_carpet	arb_vizier_fire_magic_carpet	1
wh_main_anc_mount_arb_vizier_life_camel	arb_vizier_life_camel	1
wh_main_anc_mount_arb_vizier_life_carpet	arb_vizier_life_magic_carpet	1
wh_main_anc_mount_arb_vizier_heavens_camel	arb_vizier_heavens_camel	1
wh_main_anc_mount_arb_vizier_heavens_carpet	arb_vizier_heavens_magic_carpet	1
wh_main_anc_mount_arb_vizier_desert_camel	arb_vizier_desert_camel	1
wh_main_anc_mount_arb_vizier_desert_carpet	arb_vizier_desert_magic_carpet	1
anc_boglar_shaman_hound	anc_boglar_shaman_hound	1
