ancillaries_included_agent_subtypes_tables	0
agent_subtype	ancillary
ovn_com_olorin_the_grey_wizard	ovn_anc_weapon_glammyding
ovn_com_olorin_the_grey_wizard	ovn_anc_talisman_bottomless_hat_of_rabbit
ovn_com_olorin_the_grey_wizard	ovn_anc_arcane_item_cathay_fireworks
ovn_com_aragand_the_layabout	ovn_anc_weapon_aragands_sword
ovn_com_aragand_the_layabout	ovn_anc_enchanted_item_pig_swill
ovn_com_legles_the_elf	ovn_anc_talisman_friendship_bracelet_legles
ovn_com_legles_the_elf	ovn_anc_enchanted_item_ring_of_concealment
ovn_com_giblit_the_dwarf	ovn_anc_talisman_friendship_bracelet_giblit
ovn_com_giblit_the_dwarf	ovn_anc_enchanted_item_bimbos_book
