faction_agent_permitted_subtypes_tables	0
agent	faction	subtype
general	wh2_main_arb_caliphate_of_araby	arb_vizier_fire_0
general	wh2_main_arb_caliphate_of_araby	arb_vizier_life_0
general	wh2_main_arb_caliphate_of_araby	arb_vizier_heavens_0
general	wh2_main_arb_caliphate_of_araby	arb_vizier_desert_0
general	wh2_main_arb_flaming_scimitar	arb_vizier_fire_0
general	wh2_main_arb_flaming_scimitar	arb_vizier_life_0
general	wh2_main_arb_flaming_scimitar	arb_vizier_heavens_0
general	wh2_main_arb_flaming_scimitar	arb_vizier_desert_0
general	wh2_main_arb_aswad_scythans	arb_vizier_fire_0
general	wh2_main_arb_aswad_scythans	arb_vizier_life_0
general	wh2_main_arb_aswad_scythans	arb_vizier_heavens_0
general	wh2_main_arb_aswad_scythans	arb_vizier_desert_0
