campaign_character_art_sets_tables	6
agent_type	art_set_id	culture	subculture	faction	is_custom	is_male	agent_subtype	campaign_map_scale
champion	wh2_main_art_set_roy_arb_champion				false	true	roy_arb_champion	1.0
champion	wh2_main_art_set_roy_arb_champion_guard				false	true	roy_arb_champion	1.0
champion	wh2_main_art_set_roy_arb_champion_warrior				false	true	roy_arb_champion	1.0
champion	wh2_main_art_set_roy_arb_champion_sergeant				false	true	roy_arb_champion	1.0
spy	wh2_main_art_set_roy_arb_nomad_01				false	true	roy_arb_nomad	1.0
spy	wh2_main_art_set_roy_arb_nomad_02				false	true	roy_arb_nomad	1.0
spy	wh2_main_art_set_roy_arb_nomad_03				false	true	roy_arb_nomad	1.0
spy	wh2_main_art_set_roy_arb_nomad_assassin_01				false	true	roy_arb_nomad	1.0
spy	wh2_main_art_set_roy_arb_nomad_assassin_02				false	true	roy_arb_nomad	1.0
spy	wh2_main_art_set_roy_arb_nomad_assassin_03				false	true	roy_arb_nomad	1.0
spy	wh2_main_art_set_roy_arb_nomad_jezzail_01				false	true	roy_arb_nomad	1.0
spy	wh2_main_art_set_roy_arb_nomad_jezzail_02				false	true	roy_arb_nomad	1.0
spy	wh2_main_art_set_roy_arb_nomad_jezzail_03				false	true	roy_arb_nomad	1.0
