building_chains_tables	6
key	tech_category_tab	encyclopedia_group	chain_category	in_encyclopedia	building_superchain	optional_tier_icon	optional_sort_order	optional_required_horde_commander
wh_main_emp_cha_grudge_main			money	false	wh_main_emp_cha_grudge_main	tier_beastmen_warcamp.png	0	
wh_main_emp_cha_grudge_recruit			military	false	wh_main_emp_cha_grudge_recruit		1	
wh_main_emp_cha_grudge_wizard			military	false	wh_main_emp_cha_grudge_wizard		2	
wh_main_emp_cha_grudge_worship			military	false	wh_main_emp_cha_grudge_worship		3	
wh_main_emp_cha_grudge_growth			military	false	wh_main_emp_cha_grudge_growth		4	
wh_main_emp_cha_grudge_paymaster			military	false	wh_main_emp_cha_grudge_paymaster		5	
wh_main_emp_cha_grudge_bank			military	false	wh_main_emp_cha_grudge_bank		6	
wh_main_emp_cha_grudge_hero			military	false	wh_main_emp_cha_grudge_hero		7	
ovn_grudge_settlement_recruit			military	false	wh2_main_sch_military1_barracks		0	
ovn_grudge_settlement_smith			military	false	wh2_main_sch_support1_smith		0	
ovn_grudge_settlement_income			money	false	wh2_main_sch_infrastructure2_industry		0	
ovn_grudge_settlement_growth			money	false	wh2_main_sch_infrastructure1_farm		0	
