attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/@@fimir_units	
chaos_territory	ovn_shearl
chaos_territory	ovn_mistmor
chaos_territory	ovn_death_quest
chaos_territory	ovn_killing_eye
chaos_territory	ovn_gharnus_demon
chaos_territory	ovn_fimm
chaos_territory	ovn_fianna_fimm
disease	ovn_shearl
disease	ovn_mistmor
disease	ovn_death_quest
disease	ovn_killing_eye
disease	ovn_gharnus_demon
disease	ovn_fimm
disease	ovn_fianna_fimm
swamp	ovn_shearl
swamp	ovn_mistmor
swamp	ovn_death_quest
swamp	ovn_killing_eye
swamp	ovn_gharnus_demon
swamp	ovn_fimm
swamp	ovn_fianna_fimm
non_vampire_territory	ovn_shearl
non_vampire_territory	ovn_mistmor
non_vampire_territory	ovn_death_quest
non_vampire_territory	ovn_killing_eye
non_vampire_territory	ovn_gharnus_demon
non_vampire_territory	ovn_fimm
non_vampire_territory	ovn_fianna_fimm
nurgle_plague	ovn_shearl
nurgle_plague	ovn_mistmor
nurgle_plague	ovn_death_quest
nurgle_plague	ovn_killing_eye
nurgle_plague	ovn_gharnus_demon
nurgle_plague	ovn_fimm
nurgle_plague	ovn_fianna_fimm
chaos_territory	ovn_fimir_warriors
chaos_territory	ovn_fimir_warriors_great_weapons
disease	ovn_fimir_warriors
disease	ovn_fimir_warriors_great_weapons
swamp	ovn_fimir_warriors
swamp	ovn_fimir_warriors_great_weapons
non_vampire_territory	ovn_fimir_warriors
non_vampire_territory	ovn_fimir_warriors_great_weapons
nurgle_plague	ovn_fimir_warriors
nurgle_plague	ovn_fimir_warriors_great_weapons
swamp	ovn_fimir_dirach_fire
nurgle_plague	ovn_fimir_dirach_fire
non_vampire_territory	ovn_fimir_dirach_fire
disease	ovn_fimir_dirach_fire
chaos_territory	ovn_fimir_dirach_fire
swamp	ovn_fimir_dirach_shadow
nurgle_plague	ovn_fimir_dirach_shadow
non_vampire_territory	ovn_fimir_dirach_shadow
disease	ovn_fimir_dirach_shadow
chaos_territory	ovn_fimir_dirach_shadow
swamp	ovn_fimir_dirach_beast
nurgle_plague	ovn_fimir_dirach_beast
non_vampire_territory	ovn_fimir_dirach_beast
disease	ovn_fimir_dirach_beast
chaos_territory	ovn_fimir_dirach_beast
swamp	ovn_fimir_dirach_death
nurgle_plague	ovn_fimir_dirach_death
non_vampire_territory	ovn_fimir_dirach_death
disease	ovn_fimir_dirach_death
chaos_territory	ovn_fimir_dirach_death
chaos_territory	ovn_nuckelavee
disease	ovn_nuckelavee
swamp	ovn_nuckelavee
non_vampire_territory	ovn_nuckelavee
nurgle_plague	ovn_nuckelavee
chaos_territory	ovn_daemonomaniac
disease	ovn_daemonomaniac
swamp	ovn_daemonomaniac
non_vampire_territory	ovn_daemonomaniac
nurgle_plague	ovn_daemonomaniac
chaos_territory	ovn_swamp_daemons
disease	ovn_swamp_daemons
swamp	ovn_swamp_daemons
non_vampire_territory	ovn_swamp_daemons
nurgle_plague	ovn_swamp_daemons
chaos_territory	ovn_eye_oculus
disease	ovn_eye_oculus
swamp	ovn_eye_oculus
non_vampire_territory	ovn_eye_oculus
nurgle_plague	ovn_eye_oculus
chaos_territory	ovn_daemonomaniac_ror
disease	ovn_daemonomaniac_ror
swamp	ovn_daemonomaniac_ror
non_vampire_territory	ovn_daemonomaniac_ror
nurgle_plague	ovn_daemonomaniac_ror
chaos_territory	ovn_marsh_hornets_ror
disease	ovn_marsh_hornets_ror
swamp	ovn_marsh_hornets_ror
non_vampire_territory	ovn_marsh_hornets_ror
nurgle_plague	ovn_marsh_hornets_ror
chaos_territory	ovn_moor_hounds_ror
disease	ovn_moor_hounds_ror
swamp	ovn_moor_hounds_ror
non_vampire_territory	ovn_moor_hounds_ror
nurgle_plague	ovn_moor_hounds_ror
