ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
armoured_and_shielded	roy_arb_cha_champion
armoured_and_shielded	roy_arb_cha_champion_elephant
armour_piercing	roy_arb_cha_champion_elephant
terror	roy_arb_cha_champion_elephant
shielded	roy_arb_cha_champion_horse
very_fast	roy_arb_cha_champion_horse
armoured_and_shielded	roy_arb_cha_champion_warhorse
duellist	roy_arb_cha_nomad
fire_whilst_moving	roy_arb_cha_nomad
vanguard_deployment	roy_arb_cha_nomad
duellist	roy_arb_cha_nomad_horse
fire_whilst_moving	roy_arb_cha_nomad_horse
vanguard_deployment	roy_arb_cha_nomad_horse
anti_large	roy_arb_cha_nomad_horse
armour_piercing_ranged	roy_arb_cha_nomad_horse_jezzail
fire_whilst_moving	roy_arb_cha_nomad_horse_jezzail
good_range	roy_arb_cha_nomad_horse_jezzail
anti_large	roy_arb_cha_nomad_horse_jezzail
armoured	roy_arb_cha_lord_horse
very_fast	roy_arb_cha_lord_horse
duellist	roy_arb_cha_nomad_assassin
armour_piercing	roy_arb_cha_nomad_assassin
poison	roy_arb_cha_nomad_assassin
stalk	roy_arb_cha_nomad_assassin
duellist	roy_arb_cha_nomad_assassin_summoned
armour_piercing	roy_arb_cha_nomad_assassin_summoned
poison	roy_arb_cha_nomad_assassin_summoned
stalk	roy_arb_cha_nomad_assassin_summoned
