technology_node_links_tables	2
child_key	initial_descent_tiers	parent_key	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset
elo_fimir_slave_eco_2	0	elo_fimir_slave_eco_1	3	1	0.0	0.0
elo_fimir_slave_eco_3	0	elo_fimir_slave_eco_2	3	1	0.0	0.0
elo_fimir_slave_eco_4	0	elo_fimir_slave_eco_3	3	1	0.0	0.0
elo_fimir_slave_eco_5	0	elo_fimir_slave_eco_4	3	1	0.0	0.0
elo_fimir_culture_eco	0	elo_fimir_slave_eco_5	3	1	0.0	0.0
elo_fimir_eco_military	0	elo_fimir_slave_eco_5	2	4	0.0	0.0
elo_fimir_culture_2	0	elo_fimir_culture_1	3	1	0.0	0.0
elo_fimir_culture_3	0	elo_fimir_culture_2	3	1	0.0	0.0
elo_fimir_culture_4	0	elo_fimir_culture_3	3	1	0.0	0.0
elo_fimir_culture_5	0	elo_fimir_culture_4	3	1	0.0	0.0
elo_fimir_culture_eco	0	elo_fimir_culture_5	2	4	0.0	0.0
elo_fimir_military_2	0	elo_fimir_military_1	3	1	0.0	0.0
elo_fimir_military_3	0	elo_fimir_military_2	3	1	0.0	0.0
elo_fimir_military_4	0	elo_fimir_military_3	3	1	0.0	0.0
elo_fimir_military_5	0	elo_fimir_military_4	3	1	0.0	0.0
elo_fimir_eco_military	0	elo_fimir_military_5	3	1	0.0	0.0
elo_fimir_military_magic	0	elo_fimir_military_5	2	4	0.0	0.0
elo_fimir_magic_2	0	elo_fimir_magic_1	3	1	0.0	0.0
elo_fimir_magic_3	0	elo_fimir_magic_2	3	1	0.0	0.0
elo_fimir_magic_4	0	elo_fimir_magic_3	3	1	0.0	0.0
elo_fimir_magic_5	0	elo_fimir_magic_4	3	1	0.0	0.0
elo_fimir_military_magic	0	elo_fimir_magic_5	3	1	0.0	0.0
elo_fimir_magic_loyalist	0	elo_fimir_magic_5	2	4	0.0	0.0
elo_fimir_chaos_loyalist_2	0	elo_fimir_chaos_loyalist_1	3	1	0.0	0.0
elo_fimir_chaos_loyalist_3	0	elo_fimir_chaos_loyalist_2	3	1	0.0	0.0
elo_fimir_chaos_loyalist_4	0	elo_fimir_chaos_loyalist_3	3	1	0.0	0.0
elo_fimir_chaos_loyalist_5	0	elo_fimir_chaos_loyalist_4	3	1	0.0	0.0
elo_fimir_magic_loyalist	0	elo_fimir_chaos_loyalist_5	3	1	0.0	0.0
elo_fimir_loyalist_creatures	0	elo_fimir_chaos_loyalist_5	2	4	0.0	0.0
elo_fimir_swamp_creatures_2	0	elo_fimir_swamp_creatures_1	3	1	0.0	0.0
elo_fimir_swamp_creatures_3	0	elo_fimir_swamp_creatures_2	3	1	0.0	0.0
elo_fimir_swamp_creatures_4	0	elo_fimir_swamp_creatures_3	3	1	0.0	0.0
elo_fimir_swamp_creatures_5	0	elo_fimir_swamp_creatures_4	3	1	0.0	0.0
elo_fimir_loyalist_creatures	0	elo_fimir_swamp_creatures_5	3	1	0.0	0.0
