campaign_mount_animation_set_overrides_tables	2
character_animation_set	mount_unit	rider_animation_set	vfx_filter_override
cam_lord_hu1b_elf_staff_and_sword	albion_morrigan_bird	cam_hu1b_elf_spellsinger_bi1_eagle	0
cam_hu1c_chaos_axe_and_shield	albion_warleader_horse	cam_hu1c_chaos_hr1_warhorse_axe_and_shield	0
cam_hu1c_chaos_axe_and_shield	albion_warleader_chariot	cam_lord_hu1c_chaos_wm_chaos_chariot_axe_and_shield	0
cam_hu1_empire_staff_and_sword	albion_truthsayer_beast_horse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	albion_truthsayer_light_horse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	albion_truthsayer_life_horse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	albion_truthsayer_truth_horse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1c_chaos_staff_and_sword	albion_chief_horse	cam_hu1c_chaos_hr1_warhorse_staff_and_sword	0
cam_hu1c_chaos_staff_and_sword	albion_chief_chariot	cam_lord_hu1c_chaos_wm_chaos_chariot_axe_and_shield	0
cam_hu1c_chaos_staff_and_sword	albion_wyrd_druid_horse	cam_hu1c_chaos_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	bl_elo_dural_durak_horse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	bl_elo_dural_durak_chariot	cam_hero_hu1_chaos_wm_chaos_chariot_staff_and_sword	0
