character_skills_to_quest_ancillaries_tables	1
ancillary	skill	use_quest_for_prefix
ovn_anc_weapon_glammyding	ovn_skill_anc_weapon_glammyding	false
ovn_anc_talisman_bottomless_hat_of_rabbit	ovn_skill_anc_talisman_bottomless_hat_of_rabbit	false
ovn_anc_arcane_item_cathay_fireworks	ovn_skill_anc_arcane_item_cathay_fireworks	false
ovn_anc_weapon_aragands_sword	ovn_skill_anc_weapon_aragands_sword	false
ovn_anc_enchanted_item_pig_swill	ovn_skill_anc_enchanted_item_pig_swill	false
ovn_anc_talisman_friendship_bracelet_legles	ovn_skill_anc_weapon_friendship_bracelet_legles	false
ovn_anc_enchanted_item_ring_of_concealment	ovn_skill_anc_enchanted_item_ring_of_concealment	false
ovn_anc_talisman_friendship_bracelet_giblit	ovn_skill_anc_weapon_friendship_bracelet_giblit	false
ovn_anc_enchanted_item_bimbos_book	ovn_skill_anc_enchanted_item_bimbos_book	false
