effect_bonus_value_unit_ability_junctions_tables	0
effect	bonus_value_id	unit_ability
ribspreader_summon_allies	enable	ribspreader_summon_allies
ribspreader_plague_of_rust	enable	ribspreader_plague_of_rust
wh2_dlc12_effect_magic_cooldown_all_lores	recharge_mod	ovn_spawn_fanatics
wh2_dlc14_effect_magic_cost_all_lores_percentage	cost_percentage_mod	ovn_spawn_fanatics
wh2_dlc14_effect_magic_cost_all_lores	cost_mod	ovn_spawn_fanatics
wh2_dlc16_effect_magic_cost_all_lores_enemy	cost_mod	ovn_spawn_fanatics
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	ovn_spawn_fanatics
ovn_reduce_cooldown_spawn_fanatics	recharge_mod	ovn_spawn_fanatics
ovn_spawn_fanatics_enable	enable	ovn_spawn_fanatics
ovn_reduce_wom_cost_spawn_fanatics	cost_mod	ovn_spawn_fanatics
