effect_bonus_value_ids_unit_sets_tables	0
bonus_value_id	effect	unit_set
armour_mod	ovn_araby_tech_camel_armour	ovn_araby_tech_camel
missile_damage_mod_mult	ovn_araby_tech_gunpowder_missle_dam	ovn_araby_tech_gunpowder
reload	ovn_araby_tech_gunpowder_rel	ovn_araby_tech_gunpowder
melee_defence_mod	ovn_araby_tech_state_inf_md	ovn_araby_tech_state_inf
armour_mod	ovn_araby_tech_state_inf_arm	ovn_araby_tech_state_inf
melee_attack_mod	ovn_araby_tech_nomad_units_ma	ovn_araby_tech_nomad_units
mod_land_movement_battle	ovn_araby_tech_nomad_units_sp	ovn_araby_tech_nomad_units
missile_damage_mod_mult	ovn_araby_tech_bow_units	ovn_araby_tech_bow_units
morale	ovn_araby_nomads_r7_mor	ovn_araby_nomads_r7
charge_bonus	ovn_araby_nomads_r7_charge	ovn_araby_nomads_r7
melee_attack_mod	ovn_araby_state_inf_r7_ma	ovn_araby_state_inf_r7
morale	ovn_araby_state_inf_r7_mor	ovn_araby_state_inf_r7
morale	ovn_araby_beasts_r7_mor	ovn_araby_beasts_r7
charge_bonus	ovn_araby_beasts_r7_charge	ovn_araby_beasts_r7
unit_damage_resistance_all_mod	ovn_araby_magic_r7	ovn_araby_magic_r7
melee_attack_mod	ovn_araby_tech_corasir_units_ma	ovn_araby_tech_corasir_units
upkeep_mod	ovn_araby_tech_corasir_units_upkeep	ovn_araby_tech_corasir_units
melee_attack_mod	ovn_araby_tech_slaves_units_ma	ovn_araby_tech_slaves_units
cost_mod	ovn_araby_tech_slave_units_cost	ovn_araby_tech_slaves_units
upkeep_mod	arb_jaffar_serpent_guard_upkeep	arb_jaffar_serpent_guard_units
melee_attack_mod	arb_jaffar_serpent_guard_melee	arb_jaffar_serpent_guard_units
melee_defence_mod	arb_jaffar_serpent_guard_defence	arb_jaffar_serpent_guard_units
melee_defence_mod	ovn_scythan_tk_md	scythan_tomb_king_units
melee_attack_mod	ovn_scythan_tk_ma	scythan_tomb_king_units
armour_mod	ovn_scythan_tk_arm	scythan_tomb_king_units
morale	ovn_araby_elephant_scor_mor	ovn_araby_elephant_scor_mor
unit_damage_resistance_magic_mod	ovn_araby_magic_prom_mr	ovn_araby_magic_prom
melee_attack_mod	ovn_araby_magic_prom_ma	ovn_araby_magic_prom
