units_to_exclusive_faction_permissions_tables	0
key	faction	allowed
Great_Deamon1_unit	wh2_main_wef_treeblood	true
ovn_boglar_no_garrison	wh2_main_wef_treeblood	true
ovn_shearl_no_garrison	wh2_main_wef_treeblood	true
wh_dlc01_chs_inf_forsaken_0_no_garrison	wh2_main_wef_treeblood	true
wh_dlc08_nor_inf_marauder_hunters_1	wh2_main_wef_treeblood	true
wh_main_chs_art_hellcannon	wh2_main_wef_treeblood	true
wh_main_chs_inf_chaos_warriors_0	wh2_main_wef_treeblood	true
wh_main_chs_inf_chosen_0	wh2_main_wef_treeblood	true
wh_main_chs_mon_chaos_spawn	wh2_main_wef_treeblood	true
wh_main_chs_inf_chaos_marauders_0	wh2_main_wef_treeblood	true
wh_main_nor_cav_marauder_horsemen_1	wh2_main_wef_treeblood	true
wh_main_chs_cav_chaos_knights_1	wh2_main_wef_treeblood	true
wh_main_chs_cav_chaos_knights_0	wh2_main_wef_treeblood	true
wh_main_chs_cav_chaos_chariot	wh2_main_wef_treeblood	true
wh_dlc08_nor_cav_marauder_horsemasters_0	wh2_main_wef_treeblood	true
wh_dlc01_chs_inf_chaos_warriors_2_no_garrison	wh2_main_wef_treeblood	true
wh_main_chs_inf_chaos_warriors_1_no_garrison	wh2_main_wef_treeblood	true
wh_main_nor_cav_marauder_horsemen_0_no_garrison	wh2_main_wef_treeblood	true
ovn_barrow_wight	wh2_main_wef_treeblood	true
elo_albion_warriors_no_garrison	wh2_main_wef_treeblood	true
elo_albion_warriors_spears_no_garrison	wh2_main_wef_treeblood	true
albion_riders_javelins_no_garrison	wh2_main_wef_treeblood	true
albion_riders	wh2_main_wef_treeblood	true
albion_centaurs	wh2_main_wef_treeblood	true
ovn_boglar	wh_dlc08_nor_goromadny_tribe	true
ovn_shearl	wh_dlc08_nor_goromadny_tribe	true
wh2_dlc15_grn_mon_river_trolls_0_no_scrap	wh_dlc08_nor_goromadny_tribe	true
wh_main_chs_mon_trolls	wh_dlc08_nor_goromadny_tribe	true
ovn_mistmor	wh_dlc08_nor_goromadny_tribe	true
