member	climate
#campaign_group_member_criteria_climates_tables;0;db/campaign_group_member_criteria_climates_tables/!!elo_albion	
ovn_albion_climate_chaotic	climate_chaotic
ovn_albion_climate_desert	climate_desert
ovn_albion_climate_frozen	climate_frozen
ovn_albion_climate_island	climate_island
ovn_albion_climate_jungle	climate_jungle
ovn_albion_climate_magicforest	climate_magicforest
ovn_albion_climate_mountain	climate_mountain
ovn_albion_climate_ocean	climate_ocean
ovn_albion_climate_savannah	climate_savannah
ovn_albion_climate_temperate	climate_temperate
ovn_albion_climate_wasteland	climate_wasteland
