attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/ovn_belakor_garrison	
chaos_territory	wh_main_chs_inf_chaos_marauders_0_belakor_garrison
disease	wh_main_chs_inf_chaos_marauders_0_belakor_garrison
mountain	wh_main_chs_inf_chaos_marauders_0_belakor_garrison
non_vampire_territory	wh_main_chs_inf_chaos_marauders_0_belakor_garrison
nurgle_plague	wh_main_chs_inf_chaos_marauders_0_belakor_garrison
snow	wh_main_chs_inf_chaos_marauders_0_belakor_garrison
chaos_territory	ovn_fim_mon_javelin_0_belakor_garrison
disease	ovn_fim_mon_javelin_0_belakor_garrison
swamp	ovn_fim_mon_javelin_0_belakor_garrison
non_vampire_territory	ovn_fim_mon_javelin_0_belakor_garrison
nurgle_plague	ovn_fim_mon_javelin_0_belakor_garrison
