land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
wh_main_character_abilities_foe_seeker	ovn_hlf_moot_general_0
wh_main_character_abilities_stand_your_ground	ovn_hlf_moot_general_0
ovn_thief	ovn_hlf_moot_general_0
ovn_thief	ovn_hlf_fieldwarden_0
wh_main_hero_abilities_slippery	ovn_hlf_fieldwarden_0
ovn_thief	ovn_hlf_master_chef_0
hlf_master_chef_regeneration_passive_aura	ovn_hlf_master_chef_0
hlf_master_chef_earth_blood_upgraded	ovn_hlf_master_chef_0
hlf_master_chef_hot_spices	ovn_hlf_master_chef_0
wh_main_character_abilities_foe_seeker	ovn_hlf_sheriff_0
wh_main_character_abilities_stand_your_ground	ovn_hlf_sheriff_0
ovn_thief	ovn_hlf_sheriff_0
hlf_master_chef_flush_soup	ovn_hlf_master_chef_0
wh_main_lord_passive_hold_the_line	ovn_hlf_sheriff_0
wh_main_character_abilities_foe_seeker	ovn_hlf_moot_general_2
wh_main_character_abilities_stand_your_ground	ovn_hlf_moot_general_2
ovn_thief	ovn_hlf_moot_general_2
hlf_master_chef_regeneration_passive_aura	ovn_hlf_master_chef_1
hlf_master_chef_earth_blood_upgraded	ovn_hlf_master_chef_1
hlf_master_chef_hot_spices	ovn_hlf_master_chef_1
ammo_supply	ovn_hlf_master_chef_1
equipment_maintanance	ovn_hlf_master_chef_1
smokeleaf_smokescreen	ovn_hlf_master_chef_1
hlf_master_chef_flush_soup	ovn_hlf_master_chef_1
wh_main_character_abilities_foe_seeker	ovn_hlf_sheriff_1
wh_main_character_abilities_stand_your_ground	ovn_hlf_sheriff_1
ovn_thief	ovn_hlf_sheriff_1
wh_main_lord_passive_hold_the_line	ovn_hlf_sheriff_1
