names_tables	1
names_group	type	gender	frequency	id
435	forename	f	0	77777001
435	family_name	f	0	77777002
435	forename	m	1	77777003
435	forename	m	1	77777004
435	forename	m	1	77777005
435	forename	m	1	77777006
435	forename	m	1	77777007
435	forename	m	1	77777008
435	forename	m	1	77777009
435	forename	m	1	77777010
435	forename	m	1	77777011
435	forename	m	1	77777012
435	forename	m	1	77777013
435	forename	m	1	77777014
435	forename	m	1	77777015
435	forename	m	1	77777016
435	forename	m	1	77777017
435	forename	m	1	77777018
435	forename	m	1	77777019
435	forename	m	1	77777020
435	forename	m	1	77777021
435	forename	m	1	77777022
435	forename	m	1	77777023
435	forename	m	1	77777024
435	forename	m	1	77777025
435	forename	m	1	77777026
435	forename	m	1	77777027
435	forename	m	1	77777028
435	forename	m	1	77777029
435	forename	m	1	77777030
435	forename	m	1	77777031
435	forename	m	1	77777032
435	forename	m	1	77777033
435	forename	m	1	77777034
435	forename	m	1	77777035
435	forename	m	1	77777036
435	forename	m	1	77777037
435	forename	m	1	77777038
435	forename	m	1	77777039
435	forename	m	1	77777040
435	forename	m	1	77777041
435	forename	m	1	77777042
435	forename	m	1	77777043
435	forename	m	1	77777044
435	forename	m	1	77777045
435	forename	m	1	77777046
435	forename	m	1	77777047
435	forename	m	1	77777048
435	forename	m	1	77777049
435	forename	m	1	77777050
435	forename	m	1	77777051
435	forename	m	1	77777052
435	forename	m	1	77777053
435	forename	m	1	77777054
435	family_name	m	1	77777055
435	family_name	m	1	77777056
435	family_name	m	1	77777057
435	family_name	m	1	77777058
435	family_name	m	1	77777059
435	family_name	m	1	77777060
435	family_name	m	1	77777061
435	family_name	m	1	77777062
435	family_name	m	1	77777063
435	family_name	m	1	77777064
435	family_name	m	1	77777065
435	family_name	m	1	77777066
435	family_name	m	1	77777067
435	family_name	m	1	77777068
435	family_name	m	1	77777069
435	family_name	m	1	77777070
435	family_name	m	1	77777071
435	family_name	m	1	77777072
435	family_name	m	1	77777073
435	family_name	m	1	77777074
435	family_name	m	1	77777075
435	family_name	m	1	77777076
435	family_name	m	1	77777077
435	family_name	m	1	77777078
435	family_name	m	1	77777079
435	family_name	m	1	77777080
435	family_name	m	1	77777081
435	family_name	m	1	77777082
435	family_name	m	1	77777083
435	family_name	m	1	77777084
435	family_name	m	1	77777085
435	family_name	m	1	77777086
435	family_name	m	1	77777087
435	family_name	m	1	77777088
435	family_name	m	1	77777089
435	family_name	m	1	77777090
435	family_name	m	1	77777091
435	family_name	m	1	77777092
435	family_name	m	1	77777093
435	family_name	m	1	77777094
435	family_name	m	1	77777095
435	family_name	m	1	77777096
435	family_name	m	1	77777097
435	family_name	m	1	77777098
435	family_name	m	1	77777099
435	family_name	m	1	77777100
435	family_name	m	1	77777101
435	family_name	m	1	77777102
435	family_name	m	1	77777103
435	family_name	m	1	77777104
435	family_name	m	1	77777105
435	family_name	m	1	77777106
435	family_name	m	1	77777107
435	family_name	m	1	77777108
435	family_name	m	1	77777109
435	family_name	m	1	77777110
435	family_name	m	1	77777111
435	family_name	m	1	77777112
435	family_name	m	1	77777113
435	family_name	m	1	77777114
435	family_name	m	0	77777201
435	forename	m	0	77777202
