units_to_groupings_military_permissions_tables	0
unit	military_group
wh_main_chs_mon_trolls	ovn_rogue_trollz
wh_main_grn_mon_trolls	ovn_rogue_trollz
elo_armoured_icetrolls	ovn_rogue_trollz
elo_southern_trolls	ovn_rogue_trollz
elo_river_trolls	ovn_rogue_trollz
elo_mountain_trolls	ovn_rogue_trollz
elo_shipwreckers	ovn_rogue_trollz
elo_cha_troll_lord	ovn_rogue_trollz
elo_kin	ovn_rogue_trollz
elo_forest_trolls	ovn_rogue_trollz
elo_armoured_icetrolls_erengrad	ovn_rogue_trollz
elo_river_trolls_erengrad	ovn_rogue_trollz
elo_mountain_trolls_erengrad	ovn_rogue_trollz
elo_forest_trolls_erengrad	ovn_rogue_trollz
elo_bile_trolls	ovn_rogue_trollz
elo_snow_troll	ovn_rogue_trollz
wh_dlc08_nor_mon_norscan_ice_trolls_0	ovn_rogue_trollz
wh2_dlc15_grn_mon_river_trolls_0_no_scrap	ovn_rogue_trollz
wh2_dlc15_grn_mon_stone_trolls_0_no_scrap	ovn_rogue_trollz
