building_level_armed_citizenry_junctions_tables	1
building_level	id	unit_group
wh2_main_special_empire_fort_emp_1	93111500	ovn_halfling_landmark
wh2_main_special_empire_fort_emp_2	93111501	ovn_halfling_landmark
wh2_main_special_empire_fort_emp_3	93111502	ovn_halfling_landmark
wh2_main_special_empire_fort_emp_4	93111503	ovn_halfling_landmark
wh2_main_special_empire_fort_emp_5	93111504	ovn_halfling_landmark
wh2_main_special_empire_fort_emp_1	93111505	ovn_halfling
wh2_main_special_empire_fort_emp_2	93111506	ovn_halfling
wh2_main_special_empire_fort_emp_3	93111507	ovn_halfling
wh2_main_special_empire_fort_emp_4	93111508	ovn_halfling
wh2_main_special_empire_fort_emp_5	93111509	ovn_halfling
wh2_main_special_empire_fort_emp_1	93111510	ovn_halfling
wh2_main_special_empire_fort_emp_2	93111511	ovn_halfling
wh2_main_special_empire_fort_emp_3	93111512	ovn_halfling
wh2_main_special_empire_fort_emp_4	93111513	ovn_halfling
wh2_main_special_empire_fort_emp_5	93111514	ovn_halfling
wh2_main_special_empire_fort_emp_1	93111515	ovn_halfling2
wh2_main_special_empire_fort_emp_2	93111516	ovn_halfling2
wh2_main_special_empire_fort_emp_3	93111517	ovn_halfling3
wh2_main_special_empire_fort_emp_4	93111518	ovn_halfling3
wh2_main_special_empire_fort_emp_5	93111519	ovn_halfling3
wh2_main_special_empire_fort_emp_1	93111520	ovn_halfling
wh2_main_special_empire_fort_emp_2	93111521	ovn_halfling2_ogres
wh2_main_special_empire_fort_emp_3	93111522	ovn_halfling3
wh2_main_special_empire_fort_emp_4	93111523	ovn_halfling3
wh2_main_special_empire_fort_emp_5	93111524	ovn_halfling3
wh2_main_special_settlement_colony_major_other_1	93111525	ovn_halfling_landmark
wh2_main_special_settlement_colony_major_other_2	93111526	ovn_halfling_landmark
wh2_main_special_settlement_colony_major_other_3	93111527	ovn_halfling_landmark
wh2_main_special_settlement_colony_major_other_4	93111528	ovn_halfling_landmark
wh2_main_special_settlement_colony_major_other_5	93111529	ovn_halfling_landmark
wh2_main_special_settlement_colony_major_other_1	93111530	ovn_halfling
wh2_main_special_settlement_colony_major_other_2	93111531	ovn_halfling2
wh2_main_special_settlement_colony_major_other_3	93111532	ovn_halfling2
wh2_main_special_settlement_colony_major_other_4	93111533	ovn_halfling3
wh2_main_special_settlement_colony_major_other_5	93111534	ovn_halfling3
wh_main_emp_garrison_1	92112410	ovn_halfling
wh_main_emp_garrison_2	92112411	ovn_halfling
wh_main_emp_garrison_2	92112412	ovn_halfling2
wh_main_emp_outpostnorsca_major_1	92112413	ovn_halfling
wh_main_emp_outpostnorsca_major_1_coast	92112414	ovn_halfling
wh_main_emp_outpostnorsca_major_2	92112415	ovn_halfling
wh_main_emp_outpostnorsca_major_2	92112417	ovn_halfling2
wh_main_emp_outpostnorsca_major_2_coast	92112416	ovn_halfling
wh_main_emp_outpostnorsca_major_2_coast	92112418	ovn_halfling2
wh_main_emp_outpostnorsca_major_3	92112419	ovn_halfling
wh_main_emp_outpostnorsca_major_3	92112950	ovn_halfling
wh_main_emp_outpostnorsca_major_3	92112951	ovn_halfling2
wh_main_emp_outpostnorsca_major_3_coast	92112420	ovn_halfling
wh_main_emp_outpostnorsca_major_3_coast	92112952	ovn_halfling
wh_main_emp_outpostnorsca_major_3_coast	92112953	ovn_halfling2
wh_main_emp_outpostnorsca_major_4	92112421	ovn_halfling2
wh_main_emp_outpostnorsca_major_4	92112423	ovn_halfling2_ogres
wh_main_emp_outpostnorsca_major_4	92112425	ovn_halfling
wh_main_emp_outpostnorsca_major_4_coast	92112422	ovn_halfling2
wh_main_emp_outpostnorsca_major_4_coast	92112424	ovn_halfling2_ogres
wh_main_emp_outpostnorsca_major_4_coast	92112426	ovn_halfling
wh_main_emp_outpostnorsca_major_5	92112427	ovn_halfling2
wh_main_emp_outpostnorsca_major_5	92112429	ovn_halfling2_ogres
wh_main_emp_outpostnorsca_major_5	92112431	ovn_halfling3
wh_main_emp_outpostnorsca_major_5_coast	92112428	ovn_halfling2
wh_main_emp_outpostnorsca_major_5_coast	92112430	ovn_halfling2_ogres
wh_main_emp_outpostnorsca_major_5_coast	92112432	ovn_halfling3
wh_main_emp_outpostnorsca_minor_1	92112433	ovn_halfling
wh_main_emp_outpostnorsca_minor_1_coast	92112434	ovn_halfling
wh_main_emp_outpostnorsca_minor_2	92112435	ovn_halfling
wh_main_emp_outpostnorsca_minor_2_coast	92112436	ovn_halfling
wh_main_emp_outpostnorsca_minor_3	92112437	ovn_halfling2
wh_main_emp_outpostnorsca_minor_3	92112439	ovn_halfling3
wh_main_emp_outpostnorsca_minor_3_coast	92112438	ovn_halfling3
wh_main_emp_outpostnorsca_minor_3_coast	92112440	ovn_halfling
wh_main_emp_settlement_major_1	92112441	ovn_halfling
wh_main_emp_settlement_major_1_coast	92112442	ovn_halfling
wh_main_emp_settlement_major_2	92112443	ovn_halfling
wh_main_emp_settlement_major_2	92112445	ovn_halfling2
wh_main_emp_settlement_major_2_coast	92112444	ovn_halfling
wh_main_emp_settlement_major_2_coast	92112446	ovn_halfling2
wh_main_emp_settlement_major_3	92112447	ovn_halfling
wh_main_emp_settlement_major_3	92112449	ovn_halfling2
wh_main_emp_settlement_major_3_coast	92112448	ovn_halfling
wh_main_emp_settlement_major_3_coast	92112450	ovn_halfling2
wh_main_emp_settlement_major_4	92112451	ovn_halfling2
wh_main_emp_settlement_major_4	92112453	ovn_halfling
wh_main_emp_settlement_major_4	92112455	ovn_halfling
wh_main_emp_settlement_major_4_coast	92112452	ovn_halfling2
wh_main_emp_settlement_major_4_coast	92112454	ovn_halfling
wh_main_emp_settlement_major_4_coast	92112456	ovn_halfling
wh_main_emp_settlement_major_5	92112457	ovn_halfling2
wh_main_emp_settlement_major_5	92112459	ovn_halfling2_ogres
wh_main_emp_settlement_major_5	92112461	ovn_halfling3
wh_main_emp_settlement_major_5_coast	92112458	ovn_halfling2
wh_main_emp_settlement_major_5_coast	92112460	ovn_halfling2_ogres
wh_main_emp_settlement_major_5_coast	92112462	ovn_halfling3
wh_main_emp_settlement_minor_1	92112463	ovn_halfling
wh_main_emp_settlement_minor_1_coast	92112464	ovn_halfling
wh_main_emp_settlement_minor_2	92112465	ovn_halfling
wh_main_emp_settlement_minor_2	92112467	ovn_halfling2
wh_main_emp_settlement_minor_2_coast	92112466	ovn_halfling
wh_main_emp_settlement_minor_2_coast	92112468	ovn_halfling2
wh_main_emp_settlement_minor_3	92112469	ovn_halfling2
wh_main_emp_settlement_minor_3	92112471	ovn_halfling3
wh_main_emp_settlement_minor_3_coast	92112470	ovn_halfling2
wh_main_emp_settlement_minor_3_coast	92112472	ovn_halfling3
wh_main_emp_walls_1	92112473	ovn_halfling
wh_main_emp_walls_2	92112474	ovn_halfling
wh_main_emp_walls_2	92112475	ovn_halfling
wh_main_emp_walls_3	92112476	ovn_halfling2
wh_main_emp_walls_3	92112477	ovn_halfling
wh_main_special_settlement_altdorf_1_emp	92112478	ovn_halfling
wh_main_special_settlement_altdorf_2_emp	92112479	ovn_halfling
wh_main_special_settlement_altdorf_2_emp	92112954	ovn_halfling
wh_main_special_settlement_altdorf_3_emp	92112480	ovn_halfling
wh_main_special_settlement_altdorf_3_emp	92112481	ovn_halfling2
wh_main_special_settlement_altdorf_4_emp	92112482	ovn_halfling
wh_main_special_settlement_altdorf_4_emp	92112483	ovn_halfling
wh_main_special_settlement_altdorf_4_emp	92112484	ovn_halfling2
wh_main_special_settlement_altdorf_5_emp	92112485	ovn_halfling2
wh_main_special_settlement_altdorf_5_emp	92112486	ovn_halfling
wh_main_special_settlement_altdorf_5_emp	92112487	ovn_halfling3
wh_main_special_settlement_castle_drakenhof_1_emp	92112488	ovn_halfling
wh_main_special_settlement_castle_drakenhof_2_emp	92112489	ovn_halfling
wh_main_special_settlement_castle_drakenhof_3_emp	92112490	ovn_halfling
wh_main_special_settlement_castle_drakenhof_3_emp	92112491	ovn_halfling
wh_main_special_settlement_castle_drakenhof_4_emp	92112492	ovn_halfling
wh_main_special_settlement_castle_drakenhof_4_emp	92112493	ovn_halfling
wh_main_special_settlement_castle_drakenhof_4_emp	92112494	ovn_halfling
wh_main_special_settlement_castle_drakenhof_5_emp	92112495	ovn_halfling2
wh_main_special_settlement_castle_drakenhof_5_emp	92112496	ovn_halfling
wh_main_special_settlement_castle_drakenhof_5_emp	92112497	ovn_halfling
wh_main_special_settlement_couronne_1_emp	92112498	ovn_halfling
wh_main_special_settlement_couronne_2_emp	92112499	ovn_halfling
wh_main_special_settlement_couronne_3_emp	92112500	ovn_halfling
wh_main_special_settlement_couronne_3_emp	92112501	ovn_halfling
wh_main_special_settlement_couronne_4_emp	92112502	ovn_halfling2
wh_main_special_settlement_couronne_4_emp	92112503	ovn_halfling
wh_main_special_settlement_couronne_4_emp	92112504	ovn_halfling
wh_main_special_settlement_couronne_5_emp	92112505	ovn_halfling2
