land_units_to_unit_abilites_junctions_tables	0
ability	land_unit
wh2_dlc09_lord_passive_my_will_be_done	Dread_King
wh_main_lord_abilities_master_of_the_black_arts	Dread_King
wh_main_lord_passive_the_hunger	Dread_King
wh_main_unit_passive_unstable	Dread_King
wh_main_lord_abilities_master_of_the_black_arts	Dread_King_2
wh_main_lord_passive_the_hunger	Dread_King_2
wh2_dlc09_lord_passive_my_will_be_done	Dread_King_2
wh_main_unit_passive_unstable	Dread_King_2
wh_main_unit_passive_unstable_mark_ii	Dread_King_2
wh2_main_unit_abilities_pestilential_breath	Dread_King_2
spawn_ushabti_dread_king	Dread_King
Dread_Aura	Dread_King
wh2_dlc09_unit_passive_unstable_mark_ii_sand	black_grail_knights_tmb
wh2_dlc09_unit_passive_unstable_sand	black_grail_knights_tmb
wh_dlc07_unit_formation_lance	black_grail_knights_tmb
wh2_dlc09_faction_passive_realm_of_souls_tier_1	black_grail_knights_tmb
wh2_dlc09_faction_passive_realm_of_souls_tier_2	black_grail_knights_tmb
wh2_dlc09_faction_passive_realm_of_souls_tier_3	black_grail_knights_tmb
wh2_dlc09_unit_passive_unstable_mark_ii_sand	elo_dread_mummy
wh2_dlc09_unit_passive_unstable_sand	elo_dread_mummy
wh2_dlc09_faction_passive_realm_of_souls_tier_1	elo_dread_mummy
wh2_dlc09_faction_passive_realm_of_souls_tier_2	elo_dread_mummy
wh2_dlc09_faction_passive_realm_of_souls_tier_3	elo_dread_mummy
