special_ability_to_invalid_usage_flags_tables	0
invalid_usage_flag	special_ability
climbing_manning_eq_on_platform	ovn_hero_abilities_summon_genie
army_is_full	ovn_hero_abilities_summon_genie
climbing_manning_eq_on_platform	ovn_hero_abilities_summon_sea_nymph
army_is_full	ovn_hero_abilities_summon_sea_nymph
climbing_manning_eq_on_platform	ovn_hero_abilities_summon_desert_spirit
army_is_full	ovn_hero_abilities_summon_desert_spirit
climbing_manning_eq_on_platform	ovn_hero_abilities_summon_fire_efreet
army_is_full	ovn_hero_abilities_summon_fire_efreet
climbing_manning_eq_on_platform	ovn_hero_abilities_summon_tempest_djinn
army_is_full	ovn_hero_abilities_summon_tempest_djinn
