character_trait_levels_tables	0
key	level	trait	threshold_points
ovn_trait_defeated_olorin_the_grey_wizard	1	ovn_trait_defeated_olorin_the_grey_wizard	1
grudge_trait_name_dummy_vladimir_stormbringer	1	grudge_trait_name_dummy_vladimir_stormbringer	1
grudge_trait_name_dummy_luther_flamestrike	1	grudge_trait_name_dummy_luther_flamestrike	1
grudge_trait_name_dummy_alloy	1	grudge_trait_name_dummy_alloy	1
grudge_trait_name_dummy_gunther	1	grudge_trait_name_dummy_gunther	1
grudge_trait_name_dummy_ubersbrom	1	grudge_trait_name_dummy_ubersbrom	1
ovn_harkon_lord_trait	1	ovn_harkon_lord_trait	1
dk_trait_name_dummy	1	dk_trait_name_dummy	1
fim_skattach_defeated_trait	1	fim_skattach_defeated_trait	1
arb_fatandira_defeated_trait	1	arb_fatandira_defeated_trait	1
arb_golden_magus_defeated_trait	1	arb_golden_magus_defeated_trait	1
hlf_glibfoot_defeated_trait	1	hlf_glibfoot_defeated_trait	1
arb_jaffar_defeated_trait	1	arb_jaffar_defeated_trait	1
