effect_bonus_value_ids_unit_sets_tables	0
bonus_value_id	effect	unit_set
charge_add	raw_might_charge7	elo_raw_might
mod_land_movement_battle	raw_might_speed7	elo_raw_might
unit_damage_resistance_missile_mod	raw_might_missle_res7	elo_raw_might
melee_defence_mod	children_chaos_mdef	children_chaos
melee_damage_mod_mult	children_chaos_wps	children_chaos
unit_damage_resistance_physical_mod	mountain_masters_phy_res7	elo_mountain_masters
melee_damage_mod_mult	mountain_masters_wps7	elo_mountain_masters
melee_attack_mod	mountain_masters_ma	elo_mountain_masters
melee_defence_mod	unnatural_resilience_mdf	unnatural_resilience
armour_mod	unnatural_resilience_armour	unnatural_resilience
unit_damage_resistance_magic_mod	blight_men_mag_res7	elo_danger_below
melee_defence_mod	blight_men_mag_mdf7	elo_danger_below
melee_damage_mod_mult	blight_men_mag_wps7	elo_danger_below
melee_attack_mod	menace_land_ma	menace_land
melee_damage_mod_mult	menace_land_wps	menace_land
mod_land_movement_battle	scourge_north_speed7	elo_northern_scourge
melee_attack_mod	scourge_north_ma7	elo_northern_scourge
melee_defence_mod	scourge_north_mdef7	elo_northern_scourge
charge_add	ice_snow_charge	ice_snow
melee_attack_mod	ice_snow_ma	ice_snow
melee_attack_mod	elo_all_trolls_ma	elo_all_trolls
melee_defence_mod	elo_all_trolls_mdef	elo_all_trolls
upkeep_mod	elo_all_trolls_up	elo_all_trolls
unit_damage_resistance_missile_mod	elo_all_trolls_mis_res	elo_all_trolls
morale	elo_all_trolls_moral	elo_all_trolls
replenishment_percentage_bonus	elo_all_trolls_replen	elo_all_trolls
charge_bonus	elo_charge_trolls_fim	all_troll_fimir
cost_mod	elo_cost_trolls_fim	all_troll_fimir
melee_damage_mod_mult	elo_wps_trolls_fim	all_troll_fimir
morale	ugma_river_morale	river_trolls
unit_damage_resistance_physical_mod	ugma_river_physical	river_trolls
melee_attack_mod	ugma_river_attack	river_trolls
cost_mod	ovn_cost_trolls	elo_all_trolls
