faction_agent_permitted_subtypes_tables	0
agent	faction	subtype
wizard	wh2_main_emp_grudgebringers	vladimir_stormbringer
champion	wh2_main_emp_grudgebringers	emp_captain
colonel	wh2_main_emp_grudgebringers	emp_lord
dignitary	wh2_main_emp_grudgebringers	emp_warrior_priest
engineer	wh2_main_emp_grudgebringers	default
general	wh2_main_emp_grudgebringers	wh2_dlc13_emp_cha_huntsmarshal_0
general	wh2_main_emp_grudgebringers	emp_lord
minister	wh2_main_emp_grudgebringers	default
runesmith	wh2_main_emp_grudgebringers	default
spy	wh2_main_emp_grudgebringers	emp_witch_hunter
wizard	wh2_main_emp_grudgebringers	dlc03_emp_amber_wizard
wizard	wh2_main_emp_grudgebringers	dlc05_emp_grey_wizard
wizard	wh2_main_emp_grudgebringers	dlc05_emp_jade_wizard
wizard	wh2_main_emp_grudgebringers	emp_bright_wizard
wizard	wh2_main_emp_grudgebringers	emp_celestial_wizard
wizard	wh2_main_emp_grudgebringers	emp_light_wizard
wizard	wh2_main_emp_grudgebringers	wh2_pro07_emp_amethyst_wizard
general	wh2_main_emp_grudgebringers	morgan_bernhardt
