ancillary	skill	use_quest_for_prefix
#character_skills_to_quest_ancillaries_tables;1;db/character_skills_to_quest_ancillaries_tables/ovn_lost_factions_gold		
ovn_anc_weapon_glammyding	ovn_skill_anc_weapon_glammyding	false
ovn_anc_talisman_bottomless_hat_of_rabbit	ovn_skill_anc_talisman_bottomless_hat_of_rabbit	false
ovn_anc_arcane_item_cathay_fireworks	ovn_skill_anc_arcane_item_cathay_fireworks	false
ovn_anc_weapon_aragands_sword	ovn_skill_anc_weapon_aragands_sword	false
ovn_anc_enchanted_item_pig_swill	ovn_skill_anc_enchanted_item_pig_swill	false
ovn_anc_talisman_friendship_bracelet_legles	ovn_skill_anc_weapon_friendship_bracelet_legles	false
ovn_anc_enchanted_item_ring_of_concealment	ovn_skill_anc_enchanted_item_ring_of_concealment	false
ovn_anc_enchanted_item_bimbos_book	ovn_skill_anc_enchanted_item_bimbos_book	false
roy_anc_mount_arb_nomad_assassin	roy_skill_nomad_mount_assassin	false
roy_anc_mount_arb_nomad_horse_jezzail	roy_skill_nomad_jezzail	false
sword	sword	false
Helm	Helm	false
Talisman	Talisman	false
rattlesnake_staff	rattlesnake_staff	false
Serpent_Staff	Serpent_Staff	false
Black_Book_Of_Ibn_Naggazar	Black_Book_Of_Ibn_Naggazar	false
anc_morrigan_staff	morrigan_legendary_staff	false
elo_staff_of_dural_durak	elo_staff_of_dural_durak	false
elo_amulet_old_ones	elo_amulet_old_ones	false
luthor_the_hunchback	luthor_the_hunchback	false
elo_hand_punished_one	elo_hand_punished_one	false
elo_hungering_blade	elo_hungering_blade	false
anc_adventurer_trinkets	ugma_trinkets	false
anc_resevoir_stone	resevoir_stone_hammer	false
hlf_staff	hlf_staff	false
hlf_robe	hlf_robe	false
grudge_anc_rune_rune_of_fury	grudge_skill_rune_of_fury	false
grudge_anc_rune_rune_of_might	grudge_skill_rune_of_might	false
grudge_anc_rune_rune_of_parrying	grudge_skill_rune_of_parrying	false
grudge_anc_rune_rune_of_striking	grudge_skill_rune_of_striking	false
grudge_item_horn_of_urgok	grudge_skill_horn_of_urgok	false
grudge_item_grudgebringer_sword	grudge_skill_grudgebringer_sword	false
grudge_item_hellfire_sword	grudge_skill_hellfire_sword	false
grudge_item_storm_sword	grudge_skill_storm_sword	false
grudge_item_runefang	grudge_skill_runefang	false
grudge_item_enchanted_shield	grudge_skill_enchanted_shield	false
grudge_item_shield_of_ptolos	grudge_skill_shield_of_ptolos	false
grudge_item_spelleater_shield	grudge_skill_spelleater_shield	false
grudge_item_dragonhelm	grudge_skill_dragonhelm	false
grudge_item_wand_of_jet	grudge_skill_wand_of_jet	false
grudge_item_banner_of_arcane_warding	grudge_skill_banner_of_arcane_warding	false
grudge_item_banner_of_wrath	grudge_skill_banner_of_wrath	false
grudge_item_banner_of_defiance	grudge_skill_banner_of_defiance	false
fim_meargh_skattach_staff_balor	fim_meargh_skattach_anc_staff_balor	false
fim_meargh_skattach_hellmother_crown	fim_meargh_skattach_anc_hellmother_crown	false
ribspreader_weapon	ribspreader_weapon_skill	false
ovn_as_starblade	ovn_as_starblade	false
ovn_as_armour	ovn_as_armour	false
ovn_as_Hoeth_Talisman	ovn_as_Hoeth_Talisman	false
arb_fatandira_blades_demise	arb_fatandira_anc_blades_demise	false
arb_fatandira_scythan_armour	arb_fatandira_anc_scythan_armour	false
arb_golden_magus_fire_scimitar	arb_golden_magus_anc_fire_scimitar	false
arb_golden_magus_auric_robe	arb_golden_magus_anc_auric_robe	false
hlf_glibfoot_hyshia	wh2_main_skill_anc_hyshia	false
hlf_glibfoot_willowblade	wh2_main_skill_anc_willowblade	false
ovn_bd_blood_chalice	blood_chalice_walach	true
ovn_bd_crimson_blade	crimson_blade_walach	true
ovn_anc_magic_standard_blood_dragon	standard_blood_dragon_walach	true
ovn_anc_talisman_friendship_bracelet_giblit	ovn_skill_anc_weapon_friendship_bracelet_giblit	false
