character_animation_set	mount_unit	rider_animation_set	vfx_filter_override
#campaign_mount_animation_set_overrides_tables;2;db/campaign_mount_animation_set_overrides_tables/ovn_lost_factions_gold			
cam_hu5_goblin_spear_and_shield	elo_carrion_boss_squig	cam_hu5_goblin_rp2_squig_spear_and_shield	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_magician_life_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_magician_desert_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_magician_fire_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_magician_heavens_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_sword_and_shield	Dread_King_2	cam_lord_hu1_tomb_hr1_tomb_steed_sword_and_shield	0
cam_hero_hu8_werekin_claws	aky_chief_wolf_werekin_1_terrorgheist	cam_hu8_strigoi_bi2_terrorgheist_wb	0
cam_hu1_arabya_hammer	roy_arb_cha_champion_horse	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_arabya_hammer	roy_arb_cha_champion_elephant	cam_hu1_empire_bc2_griffon_wb_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	roy_arb_cha_nomad_horse	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	roy_arb_cha_lord_horse	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	roy_arb_cha_nomad_assassin	cam_hu1_arch_lector_dual_hammer	0
cam_hero_hu1_cst_gunnery_rifle	roy_arb_cha_nomad_horse_jezzail	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_sword_and_shield	ovn_araby_ll_mount	cam_hu1_empire_bc2_griffon_wb_lance_sword_shield	0
cam_hu1_empire_sword_and_shield	wh_main_arb_cha_sheikh_2	cam_hu1_empire_bc2_griffon_wb_lance_sword_shield	0
cam_hu1_empire_staff_and_sword	Sultan_Jaffar_camel	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_lord_hu1b_elf_staff_and_sword	albion_morrigan_bird	cam_hu1b_elf_spellsinger_bi1_eagle	0
cam_hu1c_chaos_axe_and_shield	albion_warleader_horse	cam_hu1c_chaos_hr1_warhorse_axe_and_shield	0
cam_hu1c_chaos_axe_and_shield	albion_warleader_chariot	cam_lord_hu1c_chaos_wm_chaos_chariot_axe_and_shield	0
