uniform_name	filename	battle_filename	campaign_porthole_filename	campaign_politician_filename
#agent_uniforms_tables;9;db/agent_uniforms_tables/ovn_rotbloods				
nurgle_chs_ch_sorcerer_campaign_01	nurgle_chs_ch_sorcerer_campaign_01	nurgle_chs_ch_sorcerer_campaign_01	wh_chs_ch_sorcerer_campaign_01	
nurgle_chs_ch_sorcerer_campaign_02	nurgle_chs_ch_sorcerer_campaign_02	nurgle_chs_ch_sorcerer_campaign_02	wh_chs_ch_sorcerer_campaign_02	
nurgle_chs_ch_sorcerer_campaign_03	nurgle_chs_ch_sorcerer_campaign_03	nurgle_chs_ch_sorcerer_campaign_03	wh_chs_ch_sorcerer_campaign_03	
nurgle_chs_ch_sorcerer_campaign_04	nurgle_chs_ch_sorcerer_campaign_04	nurgle_chs_ch_sorcerer_campaign_04	wh_chs_ch_sorcerer_campaign_04	
nurgle_chs_ch_sorcerer_lord_campaign_01	nurgle_chs_ch_sorcerer_lord_campaign_01	nurgle_chs_ch_sorcerer_lord_campaign_01	wh_chs_ch_sorcerer_lord_campaign_01	
nurgle_chs_ch_sorcerer_lord_campaign_02	nurgle_chs_ch_sorcerer_lord_campaign_02	nurgle_chs_ch_sorcerer_lord_campaign_02	wh_chs_ch_sorcerer_lord_campaign_02	
nurgle_chs_ch_sorcerer_lord_campaign_03	nurgle_chs_ch_sorcerer_lord_campaign_03	nurgle_chs_ch_sorcerer_lord_campaign_03	wh_chs_ch_sorcerer_lord_campaign_03	
nurgle_chs_ch_sorcerer_lord_campaign_04	nurgle_chs_ch_sorcerer_lord_campaign_04	nurgle_chs_ch_sorcerer_lord_campaign_04	wh_chs_ch_sorcerer_lord_campaign_04	
nurgle_chs_ch_exalted_hero_campaign_01	nurgle_chs_ch_exalted_hero_campaign_01	nurgle_chs_ch_exalted_hero_campaign_01	wh_chs_ch_exalted_hero_campaign_01	
nurgle_chs_ch_exalted_hero_campaign_02	nurgle_chs_ch_exalted_hero_campaign_02	nurgle_chs_ch_exalted_hero_campaign_02	wh_chs_ch_exalted_hero_campaign_02	
nurgle_chs_ch_exalted_hero_campaign_03	nurgle_chs_ch_exalted_hero_campaign_03	nurgle_chs_ch_exalted_hero_campaign_03	wh_chs_ch_exalted_hero_campaign_03	
nurgle_chs_ch_exalted_hero_campaign_04	nurgle_chs_ch_exalted_hero_campaign_04	nurgle_chs_ch_exalted_hero_campaign_04	wh_chs_ch_exalted_hero_campaign_04	
nurgle_chs_ch_exalted_hero_campaign_05	nurgle_chs_ch_exalted_hero_campaign_05	nurgle_chs_ch_exalted_hero_campaign_05	wh_chs_ch_exalted_hero_campaign_05	
nurgle_chs_ch_chaos_lord_campaign_01	nurgle_chs_ch_chaos_lord_campaign_01	nurgle_chs_ch_chaos_lord_campaign_01	wh_chs_ch_chaos_lord_campaign_01	
nurgle_chs_ch_chaos_lord_campaign_02	nurgle_chs_ch_chaos_lord_campaign_02	nurgle_chs_ch_chaos_lord_campaign_02	wh_chs_ch_chaos_lord_campaign_02	
nurgle_chs_ch_chaos_lord_campaign_03	nurgle_chs_ch_chaos_lord_campaign_03	nurgle_chs_ch_chaos_lord_campaign_03	wh_chs_ch_chaos_lord_campaign_03	
