character_skill_node_links_tables	3
child_key	initial_descent_tiers	parent_key	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
fimir_lord_battle_02_belakor	0	fimir_lord_battle_01	1	1	0.0	0.0	REQUIRED
fimir_lord_battle_03_belakor	0	fimir_lord_battle_01	1	1	0.0	0.0	REQUIRED
fimir_lord_battle_04_belakor	0	fimir_lord_battle_01	1	1	0.0	0.0	REQUIRED
fimir_lord_battle_05_belakor	0	fimir_lord_battle_01	1	1	0.0	0.0	REQUIRED
fimir_lord_battle_06_belakor	0	fimir_lord_battle_01	1	1	0.0	0.0	REQUIRED
fimir_lord_battle_06_5_belakor	0	fimir_lord_battle_01	1	1	0.0	0.0	REQUIRED
fimir_lord_battle_07_belakor	0	fimir_lord_battle_02_belakor	1	1	0.0	0.0	SUBSET_REQUIRED
fimir_lord_battle_07_belakor	0	fimir_lord_battle_03_belakor	1	1	0.0	0.0	SUBSET_REQUIRED
fimir_lord_battle_07_belakor	0	fimir_lord_battle_04_belakor	1	1	0.0	0.0	SUBSET_REQUIRED
fimir_lord_battle_07_belakor	0	fimir_lord_battle_05_belakor	1	1	0.0	0.0	SUBSET_REQUIRED
fimir_lord_battle_07_belakor	0	fimir_lord_battle_06_belakor	1	1	0.0	0.0	SUBSET_REQUIRED
fimir_lord_battle_07_belakor	0	fimir_lord_battle_06_5_belakor	1	1	0.0	0.0	SUBSET_REQUIRED
fimir_lord_battle_08_belakor	0	fimir_lord_battle_07_belakor	1	1	0.0	0.0	REQUIRED
fimir_lord_battle_09_belakor	0	fimir_lord_battle_07_belakor	1	1	0.0	0.0	REQUIRED
fimir_lord_battle_10_belakor	0	fimir_lord_battle_07_belakor	1	1	0.0	0.0	REQUIRED
fimir_lord_battle_11_belakor	0	fimir_lord_battle_07_belakor	1	1	0.0	0.0	REQUIRED
fimir_lord_battle_12_belakor	0	fimir_lord_battle_08_belakor	1	1	0.0	0.0	SUBSET_REQUIRED
fimir_lord_battle_12_belakor	0	fimir_lord_battle_09_belakor	1	1	0.0	0.0	SUBSET_REQUIRED
fimir_lord_battle_12_belakor	0	fimir_lord_battle_10_belakor	1	1	0.0	0.0	SUBSET_REQUIRED
fimir_lord_battle_12_belakor	0	fimir_lord_battle_11_belakor	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_death_battle_02	0	wh_main_skill_node_chs_sorcerer_lord_death_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_death_battle_03	0	wh_main_skill_node_chs_sorcerer_lord_death_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_death_battle_04	0	wh_main_skill_node_chs_sorcerer_lord_death_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_death_battle_05	0	wh_main_skill_node_chs_sorcerer_lord_death_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_death_battle_06	0	wh_main_skill_node_chs_sorcerer_lord_death_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_death_battle_07	0	wh_main_skill_node_chs_sorcerer_lord_death_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_death_battle_08	0	belakor_sorcerer_death_battle_02	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_death_battle_08	0	belakor_sorcerer_death_battle_03	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_death_battle_08	0	belakor_sorcerer_death_battle_04	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_death_battle_08	0	belakor_sorcerer_death_battle_05	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_death_battle_08	0	belakor_sorcerer_death_battle_06	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_death_battle_08	0	belakor_sorcerer_death_battle_07	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_death_battle_09	0	belakor_sorcerer_death_battle_08	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_death_battle_10	0	belakor_sorcerer_death_battle_08	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_death_battle_11	0	belakor_sorcerer_death_battle_08	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_death_battle_12	0	belakor_sorcerer_death_battle_08	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_death_battle_13	0	belakor_sorcerer_death_battle_09	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_death_battle_13	0	belakor_sorcerer_death_battle_10	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_death_battle_13	0	belakor_sorcerer_death_battle_11	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_death_battle_13	0	belakor_sorcerer_death_battle_12	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_shadow_battle_02	0	wh_dlc07_skill_node_chs_sorcerer_lord_shadow_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_shadow_battle_03	0	wh_dlc07_skill_node_chs_sorcerer_lord_shadow_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_shadow_battle_04	0	wh_dlc07_skill_node_chs_sorcerer_lord_shadow_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_shadow_battle_05	0	wh_dlc07_skill_node_chs_sorcerer_lord_shadow_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_shadow_battle_06	0	wh_dlc07_skill_node_chs_sorcerer_lord_shadow_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_shadow_battle_07	0	wh_dlc07_skill_node_chs_sorcerer_lord_shadow_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_shadow_battle_08	0	belakor_sorcerer_shadow_battle_02	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_shadow_battle_08	0	belakor_sorcerer_shadow_battle_03	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_shadow_battle_08	0	belakor_sorcerer_shadow_battle_04	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_shadow_battle_08	0	belakor_sorcerer_shadow_battle_05	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_shadow_battle_08	0	belakor_sorcerer_shadow_battle_06	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_shadow_battle_08	0	belakor_sorcerer_shadow_battle_07	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_shadow_battle_09	0	belakor_sorcerer_shadow_battle_08	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_shadow_battle_10	0	belakor_sorcerer_shadow_battle_08	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_shadow_battle_11	0	belakor_sorcerer_shadow_battle_08	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_shadow_battle_12	0	belakor_sorcerer_shadow_battle_08	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_shadow_battle_13	0	belakor_sorcerer_shadow_battle_09	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_shadow_battle_13	0	belakor_sorcerer_shadow_battle_10	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_shadow_battle_13	0	belakor_sorcerer_shadow_battle_11	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_shadow_battle_13	0	belakor_sorcerer_shadow_battle_12	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_metal_battle_02	0	wh_main_skill_node_chs_sorcerer_lord_metal_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_metal_battle_03	0	wh_main_skill_node_chs_sorcerer_lord_metal_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_metal_battle_04	0	wh_main_skill_node_chs_sorcerer_lord_metal_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_metal_battle_05	0	wh_main_skill_node_chs_sorcerer_lord_metal_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_metal_battle_06	0	wh_main_skill_node_chs_sorcerer_lord_metal_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_metal_battle_07	0	wh_main_skill_node_chs_sorcerer_lord_metal_battle_01	1	1	0.0	0.0	REQUIRED
belakor_sorcerer_metal_battle_08	0	belakor_sorcerer_metal_battle_02	1	1	0.0	0.0	SUBSET_REQUIRED
belakor_sorcerer_metal_battle_08	0	belakor_sorcerer_metal_battle_03	1	1	0.0	0.0	SUBSET_REQUIRED
