political_party_key	faction_key
#faction_political_parties_junctions_tables;0;db/faction_political_parties_junctions_tables/ovn	
wh2_main_political_party_arb_aswad_scythans	wh2_main_arb_aswad_scythans
wh2_main_political_party_arb_caliphate_of_araby	wh2_main_arb_caliphate_of_araby
wh2_main_political_party_arb_flaming_scimitar	wh2_main_arb_flaming_scimitar
wh2_main_political_party_emp_grudgebringers	wh2_main_emp_grudgebringers
wh2_main_political_party_emp_the_moot	wh2_main_emp_the_moot
wh2_main_political_party_hef_citadel_of_dusk	wh2_main_hef_citadel_of_dusk
wh2_main_political_party_vor_hef_citadel_of_dusk	wh2_main_hef_citadel_of_dusk
wh2_main_political_party_amz_amazons	wh2_main_amz_amazons
wh2_main_political_party_nor_albion	wh2_main_nor_albion
wh2_main_political_party_nor_trollz	wh2_main_nor_trollz
wh2_main_political_party_vor_arb_aswad_scythans	wh2_main_arb_aswad_scythans
wh2_main_political_party_vor_arb_caliphate_of_araby	wh2_main_arb_caliphate_of_araby
wh2_main_political_party_vor_arb_flaming_scimitar	wh2_main_arb_flaming_scimitar
wh2_main_political_party_vor_amz_amazons	wh2_main_amz_amazons
wh2_main_political_party_vor_nor_albion	wh2_main_nor_albion
wh2_main_political_party_vor_emp_grudgebringers	wh2_main_emp_grudgebringers
wh2_main_political_party_vmp_blood_dragons	wh2_main_vmp_blood_dragons
wh2_main_political_party_nor_harbingers_of_doom	wh2_main_nor_harbingers_of_doom
wh2_main_political_party_nor_rotbloods	wh2_main_nor_rotbloods
wh2_main_political_party_nor_servants_of_fimulneid	wh2_main_nor_servants_of_fimulneid
wh2_main_political_party_tmb_the_sentinels	wh2_dlc09_tmb_the_sentinels
wh2_main_political_party_vor_tmb_the_sentinels	wh2_dlc09_tmb_the_sentinels
