unit_abilities_tables	16
key	requires_effect_enabling	icon_name	overpower_option	type	video	uniqueness	is_unit_upgrade	is_hidden_in_ui	source_type	superseded_abilities_set	is_hidden_in_ui_for_enemy
ovn_feast	false	wh_dlc06_unit_passive_bugmans_brew		wh_type_area_of_augments		wh_main_anc_group_rare	false	false	unit		false
ovn_thief	false	wh_main_hero_abilities_slippery		wh_type_augment		wh_main_anc_group_rare	false	false	unit		false
ovn_fight_eat	false	wh2_dlc15_character_abilities_sausage_busta		wh_type_area_of_augments		wh_main_anc_group_uncommon	false	false	unit		false
ovn_take_bite	false	wh2_dlc13_character_abilities_patch_up		wh_type_area_of_augments		wh_main_anc_group_rare	false	false	unit		false
ovn_dont_abandon	false	wh2_dlc15_character_abilities_fishy_breathe		wh_type_area_of_augments		wh_main_anc_group_rare	false	false	unit		false
ovn_baby_dragon_breath	false	wh2_main_unit_abilities_sun_dragons_breath		wh_type_magic_missiles		wh_main_anc_group_uncommon	false	false	unit		false
ammo_supply	false	wh2_dlc15_unit_passive_unending_volley		wh_type_augment		wh_main_anc_group_common	false	false	unit		false
equipment_maintanance	false	wh2_dlc12_unit_abilities_the_best_defence		wh_type_augment		wh_main_anc_group_rare	false	false	unit		false
smokeleaf_smokescreen	false	wh_pro01_lord_abilities_flash_bomb		wh_type_augment		wh_main_anc_group_rare	false	false	unit		false
hlf_glibfoot_adv_continues	true	hlf_glibfoot_adv_continues		wh_type_area_of_augments		wh_main_anc_group_rare	true	false	character		false
hlf_glibfoot_for_the_moot	true	hlf_glibfoot_for_the_moot		wh_type_augment		wh_main_anc_group_rare	true	false	character		false
hlf_glibfoot_hyshia_charged_shot	false	hlf_glibfoot_hyshia		wh_type_magic_missiles		wh_main_anc_group_unique	true	false	item		false
hlf_glibfoot_willowblade_ability	true	hlf_glibfoot_willowblade		wh_type_hex		wh_main_anc_group_unique	true	false	item		false
hlf_glibfoot_thief_tactics	true	hlf_glibfoot_thief_tactics		wh_type_area_of_augments		wh_main_anc_group_rare	true	false	lord		false
hlf_master_chef_regeneration_passive_aura	false	hlf_master_chef_regeneration		wh_type_area_of_regeneration		wh_main_anc_group_common	true	false	character		false
hlf_master_chef_earth_blood	true	hlf_master_chef_earth_blood		wh_type_area_of_regeneration		wh_main_anc_group_common	true	false	character		false
hlf_master_chef_earth_blood_upgraded	true	hlf_master_chef_earth_blood		wh_type_area_of_regeneration		wh_main_anc_group_common	true	false	character		false
hlf_master_chef_hot_spices	true	hlf_master_chef_hot_spices		wh_type_area_of_hexes		wh_main_anc_group_uncommon	true	false	character		false
hlf_master_chef_flush_soup	true	hlf_master_chef_soup_flush		wh_type_explosion		wh_main_anc_group_uncommon	true	false	lord		false
elo_superfood	false	wh2_dlc15_character_abilities_slimy_smoothie		wh_type_augment		wh_main_anc_group_rare	false	false	unit		false
