effects_tables	3
effect	icon	priority	icon_negative	category	is_positive_value_good
elo_fedbywar_sp	battle_movement.png	109	battle_movement.png	battle	true
elo_fedbywar_ch	charge.png	101	charge.png	battle	true
elo_toostupid_psy	attribute_immune_to_psychology.png	200	attribute_immune_to_psychology.png	battle	true
elo_toostupid_up	income.png	200	income.png	campaign	false
enable_run_and_shakeoff	general_ability.png	600	general_ability.png	battle	true
elo_bloodlust_me	melee.png	109	melee.png	battle	true
elo_bloodlust_wp	weapon_damage.png	101	weapon_damage.png	battle	true
elo_hitharder_wp	weapon_damage.png	120	weapon_damage.png	battle	true
elo_hitharder_vig	vigour.png	150	vigour.png	battle	false
enable_frenzy	general_ability.png	100	general_ability.png	battle	true
enable_stoneskin	general_ability.png	200	general_ability.png	battle	true
elo_feral_ch	charge.png	109	charge.png	battle	true
elo_feral_def	defence.png	101	defence.png	battle	true
elo_xp_gen	experience.png	200	experience.png	campaign	true
elo_mon_rec	income.png	200	income.png	campaign	false
elo_mon_up	income.png	200	income.png	campaign	false
elo_mon_time	turns.png	140	turns.png	campaign	false
elo_mar_rec	income.png	200	income.png	campaign	false
elo_raw_might_frenzy	general_ability.png	200	general_ability.png	battle	true
elo_raw_might_wp	weapon_damage.png	200	weapon_damage.png	battle	true
elo_mountain_masters_large	bonus_vs_large.png	200	bonus_vs_large.png	battle	true
elo_mountain_masters_res	resistance_ward_save.png	200	resistance_ward_save.png	battle	true
elo_scourge_fat	attribute_fatigue_immune.png	620	attribute_fatigue_immune.png	battle	true
elo_scourge_res	resistance_missile.png	200	resistance_missile.png	battle	true
elo_danger_gue	attribute_guerrilla_deploy.png	620	attribute_guerrilla_deploy.png	battle	true
elo_danger_mel	melee.png	200	melee.png	battle	true
elo_small_sp	battle_movement.png	109	battle_movement.png	battle	true
elo_small_inf	bonus_vs_small.png	101	bonus_vs_small.png	battle	true
elo_forest_splash	weapon_damage.png	620	weapon_damage.png	battle	true
elo_forest_arm	armour.png	200	armour.png	battle	true
elo_mon_time_local	turns.png	140	turns.png	campaign	false
elo_raw_might_wp_ap	weapon_damage.png	200	weapon_damage.png	battle	true
elo_hitharder_wp_ap	weapon_damage.png	200	weapon_damage.png	battle	true
elo_bloodlust_wp_ap	weapon_damage.png	200	weapon_damage.png	battle	true
increase_cap_engineer_elo_snow_troll	gorebull.png	200	gorebull.png	campaign	true
enable_recruitment_engineer_elo_snow_troll	gorebull.png	200	gorebull.png	campaign	true
enable_tantrum	wh_dlc08_berserk	200	wh_dlc08_berserk	battle	true
sickness_host	plague.png	200	plague.png	battle	true
ovn_troll_effect_force_all_campaign_upkeep	skaven_food.png	70	skaven_food.png	campaign	false
