building_upgrades_junction_tables	0
from	to
ovn_wh2_main_rogue_settlement_major_1	ovn_wh2_main_rogue_settlement_major_2
ovn_wh2_main_rogue_settlement_major_2	ovn_wh2_main_rogue_settlement_major_3
ovn_wh2_main_rogue_settlement_major_coast_1	ovn_wh2_main_rogue_settlement_major_coast_2
ovn_wh2_main_rogue_settlement_major_coast_2	ovn_wh2_main_rogue_settlement_major_coast_3
ovn_wh2_main_rogue_settlement_major_coast_ruin	ovn_wh2_main_rogue_settlement_major_coast_1
ovn_wh2_main_rogue_settlement_minor_1	ovn_wh2_main_rogue_settlement_minor_2
ovn_wh2_main_rogue_settlement_minor_2	ovn_wh2_main_rogue_settlement_minor_3
ovn_wh2_main_rogue_settlement_minor_coast_1	ovn_wh2_main_rogue_settlement_minor_coast_2
ovn_wh2_main_rogue_settlement_minor_coast_2	ovn_wh2_main_rogue_settlement_minor_coast_3
wh2_main_rogue_settlement_minor_coast_ruin	ovn_wh2_main_rogue_settlement_minor_coast_1
wh2_main_rogue_settlement_minor_ruin	ovn_wh2_main_rogue_settlement_minor_1
wh2_main_rogue_settlement_ruin	ovn_wh2_main_rogue_settlement_major_1
