melee_weapons_tables	22
bonus_v_cavalry	bonus_v_large	bonus_v_infantry	key	damage	ap_damage	first_strike	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage
0	0	0	vannheim_75th_sword	30	12	0	1.0	sword	sword		1	1.0	5	0.0	false		0	10	5.1	
0	0	0	grudgebringer_cavalry_sword	28	12	0	1.0	sword	sword		1	1.0	5	0.0	false		0	10	5.1	
0	0	0	grudgebringer_cavalry_sword_officer	28	12	0	1.0	sword	sword		1	1.0	5	6.0	true		0	10	5.1	
0	0	0	black_avangers_sword	25	8	0	1.0	sword	sword		1	1.0	5	0.0	false		0	10	4.5	
0	0	0	black_avangers_sword_officer	25	8	0	1.0	sword	sword		2	0.5	5	0.0	false		0	10	4.5	
0	0	0	grudgebringer_infantry_sword	23	7	0	1.0	sword	sword		1	1.0	5	0.0	false		0	10	4.3	
0	0	0	grudgebringer_infantry_sword_officer	23	7	0	1.0	sword	sword		1	1.0	5	0.0	true		0	10	4.3	
0	0	9	carlsson_guard_sword	26	9	0	1.0	sword	sword		1	1.0	10	0.0	false		0	10	4.3	
0	25	0	countess_guard_halberd	11	28	0	2.0	spear	halberd		1	1.0	5	0.0	false		0	10	4.3	
0	0	0	wh_dlc05_wef_sword_archer_scout	23	3	0	1.0	sword	sword		1	1.0	5	0.0	false		0	10	4.3	
0	15	0	wh_dlc05_wef_asrai_2hspear	4	20	0	2.0	spear	spear		1	1.0	5	0.0	false		0	10	4.5	
0	0	8	wh_main_emp_sword_great	20	25	0	1.0	sword	sword	small	2	0.75	5	0.0	false		0	10	4.4	
0	16	0	dk_lance_black_grail_knight	24	16	0	1.0	lance	spear	medium	3	1.5	10	0.0	true		0	10	5.1	
