key	accuracy	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	animal	num_animals	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_&_weaknesses_text	supports_first_person	training_level	officers	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	reload	loose_spacing	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion	can_brace
#land_units_tables;44;db/land_units_tables/ovn_grudgebringers																																																											
grudgebringer_cavalry	10	wh2_main_plate_100	2100	cavalry	62	cav_mel	11	61	wh_main_unit_long_text_emp_reiksguard	hu1_empire_hr1_warhorse_sword_and_shield	wh_main_cavalry_rider_standard_blood	41	39	82	96	wh_main_gru_mnt_warhorse_outriders		0	96	grudgebringer_cavalry_sword		5	wh_missile_block_30_metal	grudgebringer_cavalry	wh_main_cavalry_ordered	placeholder	false	trained	grudgebringer_cavalry			true	40.0	1500.0	0.0	wh_hideForest	60	80	0	false	vo_sel_cavalry	vo_sel_cavalry	vo_sel_culture	1.0	10.0	large	0	0	0	0	0	0	0	0	melee_cav	false	false	false	false
grudgebringer_infantry	10	wh2_main_plate_90	2100	inf_melee	20	inf_mel	12	50	wh_main_unit_long_text_emp_state_troops	hu1_empire_sword_and_shield	wh_main_infantry_standard_blood_dismembers	38	40	78	72			0	0	grudgebringer_infantry_sword		7	wh_missile_block_35_metal	grudgebringer_infantry	wh_main_infantry	placeholder	false	trained	grudgebringer_infantry_officer			true	40.0	1500.0	0.0	wh_hideForest	60	80	0	false	vo_sel_swordsmen	vo_sel_melee	vo_sel_culture	1.0	10.0	small	0	0	0	0	0	0	0	0	melee	false	false	false	true
grudgebringer_cannon	50	wh2_main_chainmail_30	2100	artillery	5	art_fld	2	10	wh_main_unit_long_text_emp_great_cannon	hu1_empire_helstorm_crew	wh_main_infantry_standard_blood_dismembers	16	12	70	62			0	0	wh_main_emp_sword		5	none	grudgebringer_cannon	wh_main_artillery_small	placeholder	true	trained	grudgebringer_cannon_officer		grudge_main_emp_cannon	true	40.0	1500.0	0.0	wh_cantRun	60	80	30	false	vo_sel_great_cannon	vo_sel_artillery	vo_sel_culture	1.0	10.0	small	0	30	0	0	1	20	10	0	ranged_direct	false	false	false	false
grudgebringer_crossbow	33	wh2_main_plate_60	2100	inf_ranged	4	inf_mis	1	8	wh_main_unit_long_text_emp_state_troops	hu1_empire_sword_crossbow	wh_main_infantry_standard_light_blood_dismembers	20	25	75	62			0	0	wh_main_emp_sword	wh_main_gru_crossbow	4	none	grudgebringer_crossbow	wh_main_infantry_ranged	placeholder	false	trained	grudgebringer_crossbow_officer			true	40.0	1500.0	0.0	wh_hideForest_stalk	60	80	10	false	vo_sel_crossbowmen	vo_sel_ranged	vo_sel_generic	1.0	10.0	small	0	22	0	0	0	0	0	0	ranged	true	false	false	true
helmgart_bowmen	20	wh2_main_leather_25	2100	inf_ranged	4	inf_mis	12	50	wh_main_unit_long_text_emp_state_troops	hu1_bretonnian_sword_and_longbow	wh_main_infantry_standard_light_blood_dismembers	16	18	68	55			0	0	wh_main_emp_sword_short	wh2_dlc13_emp_bow_huntsmen	5	none	helmgart_bowmen	wh_main_infantry_ranged	placeholder	false	trained	helmgart_bowmen			true	40.0	1500.0	0.0	wh_hideForest	60	80	10	false	vo_sel_default	vo_sel_missile	vo_sel_culture	1.0	10.0	small	0	24	0	0	0	0	0	0	ranged	true	false	false	true
keelers_longbows	33	wh2_main_leather_20	2100	inf_ranged	4	inf_mis	12	50	wh_main_unit_long_text_emp_state_troops	hu1_bretonnian_sword_and_longbow	wh_main_infantry_standard_light_blood_dismembers	16	18	68	55			0	0	wh_main_emp_sword_short	wh2_main_hef_longbow_arrow	5	none	keelers_longbows	wh_main_infantry_ranged	placeholder	false	trained	keelers_longbows			true	40.0	1500.0	0.0	wh_hideForest	60	80	10	false	vo_sel_default	vo_sel_missile	vo_sel_culture	1.0	10.0	small	0	24	0	0	0	0	0	0	ranged	true	false	false	true
dargrimm_firebeard_dwarf_warriors	10	wh2_main_chainmail_95	2100	inf_melee	12	inf_mel	20	33	wh_main_unit_long_text_dwf_dwarf_warriors	hu3_dwarf_axe_and_shield	wh_main_dwf_inf_dwarfs_blood_dismembers	27	50	82	76			0	0	wh_dlc06_dwf_axe_dragonfire		8	wh_missile_block_35_wood	azguz_bloodfist_dwarf_warriors	wh_main_dwf_infantry_standard_shield	placeholder	false	trained	dargrimm_firebeard_dwarf_warriors_officer			true	40.0	1500.0	0.0	wh_chargeReflectorVsL_hideForest	60	80	0	false	vo_sel_dwarf_warriors	vo_sel_generic	vo_sel_generic_short	1.0	10.0	small	0	0	0	25	0	0	0	0	melee	false	false	false	true
azguz_bloodfist_dwarf_warriors	10	wh2_main_chainmail_95	2100	inf_melee	12	inf_mel	20	33	wh_main_unit_long_text_dwf_dwarf_warriors	hu3_dwarf_axe_and_shield	wh_main_dwf_inf_dwarfs_blood_dismembers	27	50	86	76			0	0	wh_dlc06_dwf_axe_dragonfire		8	wh_missile_block_35_wood	azguz_bloodfist_dwarf_warriors	wh_main_dwf_infantry_standard_shield	placeholder	false	trained	azguz_bloodfist_dwarf_warriors_officer			true	40.0	1500.0	0.0	wh_chargeReflectorVsL_hideForest	60	80	0	false	vo_sel_dwarf_warriors	vo_sel_generic	vo_sel_generic_short	1.0	10.0	small	0	0	0	25	0	0	0	0	melee	false	false	false	true
urblab_rotgut_mercenary_ogres	10	wh2_main_body_40	2100	inf_melee	44	inf_mel	22	50	wh2_twa05_ogr_inf_ogres_0	hu13_wh2_twa05_ogre_sword	wh2_twa05_ogr_monster_ogre_blood	30	23	60	355			0	0	wh2_twa05_ogr_ogre_sword		3	none	urblab_rotgut_mercenary_ogres	wh_main_monstrous_trolls	placeholder	false	trained	urblab_rotgut_mercenary_ogres			true	40.0	1500.0	0.0	wh_fear_ogreCharge	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_generic	1.0	10.0	large	0	0	0	0	0	0	0	0	melee_gatecrusher_shock	false	false	false	true
treeman_knarlroot	0	wh2_main_body_100	2100	inf_melee	30	inf_mel	13	71	wh_dlc05_unit_long_text_wef_treemen	hu21_treeman	wh_dlc05_wef_inf_treeman	45	56	90	9320			0	0	wh_dlc05_wef_treeman_claws		1	none	treeman_knarlroot	wh_main_monster	placeholder	false	trained	treeman_knarlroot			true	40.0	1500.0	0.0	wh2_dlc15_hideForest_fear_terror_chargeReflector_ignore_trees_vanguard	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	0.5	10.0	large_bst	0	0	-25	0	0	20	15	0	melee_gatecrusher	false	false	false	true
