technology_effects_junction_tables	0
technology	effect	effect_scope	value
rot_tech_mon_2	rot_charge_speed_increase_trolls	faction_to_force_own_unseen	10.0
rot_tech_mon_2	rot_melee_damage_increase_trolls	faction_to_force_own_unseen	10.0
rot_tech_mon_2	rot_recruitment_cost_reduction_trolls	faction_to_force_own_unseen	-10.0
rot_tech_mon_1	rot_melee_attack_increase_warhounds	faction_to_force_own_unseen	5.0
rot_tech_mon_1	rot_unit_stat_melee_defence_warhounds	faction_to_force_own_unseen	5.0
rot_nor_marauders_05	rot_armour_increase_marauder_chariots_cavalry	faction_to_force_own_unseen	5.0
rot_nor_marauders_05	rot_melee_defence_increase_marauder_chariots_cavalry	faction_to_force_own_unseen	5.0
rot_nor_marauders_06	rot_charge_speed_increase_marauder_chariots_cavalry	faction_to_force_own_unseen	10.0
rot_nor_marauders_06	rot_movement_speed_increase_marauder_chariots_cavalry	faction_to_force_own_unseen	10.0
rot_nor_other_17	wh_main_effect_agent_action_outcome_target_defence_success_chance_enemy	faction_to_character_own_unseen	-20.0
rot_nor_other_17	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own_unseen	20.0
rot_nor_nw_07	wh_dlc08_effect_tech_army_battle_infantry_physical_resistance_all	faction_to_force_own_unseen	10.0
rot_nor_nw_07	wh_main_faction_xp_increase_generals	faction_to_province_own_unseen	5.0
rot_nor_nw_07	wh_main_faction_xp_increase_generals_hidden	faction_to_force_own_unseen	5.0
