effect_bonus_value_unit_ability_junctions_tables	0
effect	bonus_value_id	unit_ability
grudge_skill_ability_volley_of_arrows	enable	grudge_character_abilities_volley_of_high_arrows
grudge_skill_ability_volley_of_dark_arrows	enable	grudge_character_abilities_volley_of_dark_arrows
grudge_effect_ability_enable_arrow_of_kurnous	enable	grudge_hero_abilities_arrow_of_kurnous
grudge_effect_ability_enable_shrapnel_shot	enable	grudge_hero_abilities_shrapnel_shot
grudge_effect_ability_enable_pepperpot	enable	grudge_hero_abilities_pepperpot
effect_magic_ice_enable_shield_of_cold_upgraded	enable_overchage	spell_ice_shield_of_cold
effect_magic_ice_enable_shield_of_cold_upgraded	enable	spell_ice_shield_of_cold
effect_magic_ice_miscast_reduction_shield_of_cold_upgraded	miscast_percentage_mod	spell_ice_shield_of_cold_upgraded
effect_magic_ice_reduce_wom_cost_shield_of_cold_upgraded	cost_mod	spell_ice_shield_of_cold_upgraded
effect_magic_ice_reduce_wom_cost_shield_of_cold	cost_mod	spell_ice_shield_of_cold
effect_magic_ice_cooldown_shield_of_cold	recharge_mod	spell_ice_shield_of_cold
effect_magic_ice_enable_shield_of_cold	enable	spell_ice_shield_of_cold
effect_magic_ice_enable_frost_blade_upgraded	enable_overchage	spell_ice_frost_blade
effect_magic_ice_enable_frost_blade_upgraded	enable	spell_ice_frost_blade
effect_magic_ice_miscast_reduction_frost_blade_upgraded	miscast_percentage_mod	spell_ice_frost_blade_upgraded
effect_magic_ice_reduce_wom_cost_frost_blade_upgraded	cost_mod	spell_ice_frost_blade_upgraded
effect_magic_ice_reduce_wom_cost_frost_blade	cost_mod	spell_ice_frost_blade
effect_magic_ice_cooldown_frost_blade	recharge_mod	spell_ice_frost_blade
effect_magic_ice_enable_frost_blade	enable	spell_ice_frost_blade
effect_magic_ice_enable_crisping_cold_upgraded	enable_overchage	spell_ice_crisping_cold
effect_magic_ice_enable_crisping_cold_upgraded	enable	spell_ice_crisping_cold
effect_magic_ice_miscast_reduction_crisping_cold_upgraded	miscast_percentage_mod	spell_ice_crisping_cold_upgraded
effect_magic_ice_reduce_wom_cost_crisping_cold_upgraded	cost_mod	spell_ice_crisping_cold_upgraded
effect_magic_ice_reduce_wom_cost_crisping_cold	cost_mod	spell_ice_crisping_cold
effect_magic_ice_cooldown_crisping_cold	recharge_mod	spell_ice_crisping_cold
effect_magic_ice_enable_crisping_cold	enable	spell_ice_crisping_cold
effect_magic_ice_enable_shattering_frost_upgraded	enable_overchage	spell_ice_shattering_frost
effect_magic_ice_enable_shattering_frost_upgraded	enable	spell_ice_shattering_frost
effect_magic_ice_miscast_reduction_shattering_frost_upgraded	miscast_percentage_mod	spell_ice_shattering_frost_upgraded
effect_magic_ice_reduce_wom_cost_shattering_frost_upgraded	cost_mod	spell_ice_shattering_frost_upgraded
effect_magic_ice_reduce_wom_cost_shattering_frost	cost_mod	spell_ice_shattering_frost
effect_magic_ice_cooldown_shattering_frost	recharge_mod	spell_ice_shattering_frost
effect_magic_ice_enable_shattering_frost	enable	spell_ice_shattering_frost
effect_magic_ice_enable_chill_upgraded	enable_overchage	spell_ice_chill
effect_magic_ice_enable_chill_upgraded	enable	spell_ice_chill
effect_magic_ice_miscast_reduction_chill_upgraded	miscast_percentage_mod	spell_ice_chill_upgraded
effect_magic_ice_reduce_wom_cost_chill_upgraded	cost_mod	spell_ice_chill_upgraded
effect_magic_ice_reduce_wom_cost_chill	cost_mod	spell_ice_chill
effect_magic_ice_cooldown_chill	recharge_mod	spell_ice_chill
effect_magic_ice_enable_chill	enable	spell_ice_chill
effect_ability_enable_ice_cold	enable	lore_passive_ice_cold
effect_magic_ice_enable_blinding_blizzard_upgraded	enable_overchage	spell_ice_blinding_blizzard
effect_magic_ice_enable_blinding_blizzard_upgraded	enable	spell_ice_blinding_blizzard
effect_magic_ice_miscast_reduction_blinding_blizzard_upgraded	miscast_percentage_mod	spell_ice_blinding_blizzard_upgraded
effect_magic_ice_reduce_wom_cost_blinding_blizzard_upgraded	cost_mod	spell_ice_blinding_blizzard_upgraded
effect_magic_ice_reduce_wom_cost_blinding_blizzard	cost_mod	spell_ice_blinding_blizzard
effect_magic_ice_cooldown_blinding_blizzard	recharge_mod	spell_ice_blinding_blizzard
effect_magic_ice_enable_blinding_blizzard	enable	spell_ice_blinding_blizzard
effect_magic_ice_enable_ice_shards_upgraded	enable_overchage	spell_ice_ice_shards
effect_magic_ice_enable_ice_shards_upgraded	enable	spell_ice_ice_shards
effect_magic_ice_miscast_reduction_ice_shards_upgraded	miscast_percentage_mod	spell_ice_ice_shards_upgraded
effect_magic_ice_reduce_wom_cost_ice_shards_upgraded	cost_mod	spell_ice_ice_shards_upgraded
effect_magic_ice_reduce_wom_cost_ice_shards	cost_mod	spell_ice_ice_shards
effect_magic_ice_cooldown_ice_shards	recharge_mod	spell_ice_ice_shards
effect_magic_ice_enable_ice_shards	enable	spell_ice_ice_shards
effect_magic_ice_enable_storm_strike	enable	spell_ice_storm_strike
effect_magic_ice_enable_storm_strike_upgraded	enable	spell_ice_storm_strike
effect_magic_ice_cooldown_storm_strike	recharge_mod	spell_ice_storm_strike
effect_magic_ice_miscast_reduction_storm_strike_upgraded	miscast_percentage_mod	spell_ice_storm_strike_upgraded
effect_magic_ice_reduce_wom_cost_storm_strike	cost_mod	spell_ice_storm_strike
effect_magic_ice_reduce_wom_cost_storm_strike_upgraded	cost_mod	spell_ice_storm_strike_upgraded
effect_magic_ice_enable_storm_strike_upgraded	enable_overchage	spell_ice_storm_strike
effect_magic_ice_enable_chill_blast	enable	spell_ice_chill_blast
effect_magic_ice_enable_chill_blast_upgraded	enable	spell_ice_chill_blast
effect_magic_ice_cooldown_chill_blast	recharge_mod	spell_ice_chill_blast
effect_magic_ice_miscast_reduction_chill_blast_upgraded	miscast_percentage_mod	spell_ice_chill_blast_upgraded
effect_magic_ice_reduce_wom_cost_chill_blast	cost_mod	spell_ice_chill_blast
