attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/ovn_halflings	
non_vampire_territory	ovn_hlf_ll
non_vampire_territory	ovn_mtl_cav_battleram_riders_0
non_vampire_territory	ovn_mtl_veh_reaper
non_vampire_territory	halfling_cat
non_vampire_territory	ovn_mtl_art_hotpot_emp
non_vampire_territory	ovn_hlf_sheep_dogs
non_vampire_territory	halfling_knights_kitchentable_ror
non_vampire_territory	halfling_pantry_guards_ror
non_vampire_territory	halfling_lords_of_harvest_ror
