ancillary_types_tables	0
type	ui_icon
grudge_item_horn_of_urgok	ui/campaign ui/ancillaries/grudge_horn_of_urgok.png
grudge_item_grudgebringer_sword	ui/campaign ui/ancillaries/grudge_grudgebringer_sword.png
grudge_item_hellfire_sword	ui/campaign ui/ancillaries/grudge_hellsword.png
grudge_item_storm_sword	ui/campaign ui/ancillaries/grudge_storm_sword.png
grudge_item_runefang	ui/campaign ui/ancillaries/grudge_runefang.png
grudge_item_enchanted_shield	ui/campaign ui/ancillaries/grudge_enchanted_shield.png
grudge_item_shield_of_ptolos	ui/campaign ui/ancillaries/grudge_shield_of_ptolos.png
grudge_item_spelleater_shield	ui/campaign ui/ancillaries/grudge_spelleater_shield.png
grudge_item_dragonhelm	ui/campaign ui/ancillaries/grudge_dragonhelm.png
grudge_item_wand_of_jet	ui/campaign ui/ancillaries/grudge_wand_of_jet.png
grudge_item_banner_of_arcane_warding	ui/campaign ui/ancillaries/grudge_banner_of_arcane.png
grudge_item_banner_of_wrath	ui/campaign ui/ancillaries/grudge_banner_of_wrath.png
grudge_item_banner_of_defiance	ui/campaign ui/ancillaries/grudge_banner_of_defiance.png
ovn_anc_follower_halfling_housewife	ui/campaign ui/ancillaries/ovn_anc_halfling_housewife.png
ovn_anc_arb_camel	ui/campaign ui/mounts/ovn_cam_arb_camel5.png
