unit_variants_tables	5
faction	name	unit	variant	unit_card
	elo_tomb_guardian	elo_tomb_guardian	elo_tomb_guardian	elo_tomb_guardian
	elo_tomb_guardian_2h_waepons	elo_tomb_guardian_2h_waepons	elo_tomb_guardian_2h_waepons	elo_tomb_guardian_2h_waepons
	elo_tomb_guardian_spears	elo_tomb_guardian_spears	elo_tomb_guardian_spears	elo_tomb_guardian_spears
	elo_dread_centurion	elo_dread_centurion	elo_dread_centurion	elo_dread_centurion
	elo_dread_centurion	elo_dread_centurion_horse	elo_dread_centurion	elo_dread_centurion
	elo_dread_centurion	elo_dread_centurion_barded_horse	elo_dread_centurion	elo_dread_centurion
	elo_dread_centurion	elo_dread_centurion_chariot	elo_dread_centurion	elo_dread_centurion
wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_cav_nehekhara_horsemen_0	wh2_dlc09_tmb_cav_nehekhara_horsemen_0	dread_wh2_dlc09_tmb_skeleton_armoured_sword_shield	wh2_dlc09_tmb_nehekhara_horsemen
wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_cav_skeleton_horsemen_0	wh2_dlc09_tmb_cav_skeleton_horsemen_0	dread_wh2_dlc09_tmb_skeleton_spear_shield	wh2_dlc09_tmb_skeleton_horsemen
wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_inf_skeleton_spearmen_0	wh2_dlc09_tmb_inf_skeleton_spearmen_0	dread_wh2_dlc09_tmb_skeleton_spear_shield	wh_main_vmp_skeleton_warrior_spear
wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_inf_skeleton_warriors_0	wh2_dlc09_tmb_inf_skeleton_warriors_0	dread_wh2_dlc09_tmb_skeleton_sword_shield	wh_main_vmp_skeleton_warrior_sword
wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_inf_tomb_guard_0	wh2_dlc09_tmb_inf_tomb_guard_0	dread_wh2_dlc09_tmb_tomb_guard_sword_shield	wh2_dlc09_tmb_tomb_guard
wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_inf_tomb_guard_1	wh2_dlc09_tmb_inf_tomb_guard_1	dread_wh2_dlc09_tmb_tomb_guard_halberd_shield	wh2_dlc09_tmb_tomb_guard_halberd
wh2_dlc09_tmb_the_sentinels	wh2_dlc09_tmb_inf_skeleton_archers_0	wh2_dlc09_tmb_inf_skeleton_archers_0	dread_wh2_dlc09_tmb_skeleton_sword_bow	wh2_dlc09_tmb_skeleton_archers
	elo_liche_general	elo_liche_general	elo_liche_general	elo_liche_general
	elo_liche_general	elo_liche_general_barded_steed	elo_liche_general	elo_liche_general
	elo_liche_general	elo_liche_general_chariot	elo_liche_general	elo_liche_general
	elo_tomb_guardian_archers	elo_tomb_guardian_archers	elo_tomb_guardian_archers	elo_tomb_guardian_archers
	elo_liche_general	elo_liche_general_warsphinx	elo_liche_general	elo_liche_general
	elo_tomb_guardian_2h_waepons	elo_tomb_guardian_2h_waepons_summoned	elo_tomb_guardian_2h_waepons	elo_tomb_guardian_2h_waepons
	elo_tomb_guardian_spears	elo_tomb_guardian_spears_summoned	elo_tomb_guardian_spears	elo_tomb_guardian_spears
	elo_dread_larenscheld	elo_dread_larenscheld	elo_dread_larenscheld	elo_larenscheld
	elo_dread_larenscheld_wright	elo_dread_larenscheld_wright	elo_dread_larenscheld_wright	wh_main_vmp_cairn_wraith
	elo_dread_larenscheld_wright_perfect	elo_dread_larenscheld_wright_perfect	elo_dread_larenscheld_wright_perfect	larenscheld_ghost
	Dread_King	Dread_King	Dread_King	Dread_King
	Dread_King_2	Dread_King_2	Dread_King_2	Dread_King
	black_grail_knights_tmb	black_grail_knights_tmb	black_grail_knights_tmb	black_grail_knights_tmb
	ovn_dkl_mon_skeleton_giant	ovn_dkl_mon_skeleton_giant	ovn_dkl_skeleton_giant	wh2_pro06_tmb_bone_giant
	ovn_vmp_mon_skeleton_giant	ovn_vmp_mon_skeleton_giant	ovn_dkl_skeleton_giant	wh2_pro06_tmb_bone_giant
	elo_hand_of_nagash	elo_hand_of_nagash	elo_hand_of_nagash	elo_hand_of_nagash
	elo_hand_of_nagash	elo_hand_of_nagash_chariot	elo_hand_of_nagash	elo_hand_of_nagash
	elo_dread_mummy	elo_dread_mummy	elo_dread_mummy	elo_dread_mummy
