military_force_legacy_names_tables	1
key	subculture	for_army
wh_main_nor_legacy_01	wh_main_sc_nor_warp	true
wh_main_nor_legacy_01	wh_main_sc_nor_fimir	true
wh_main_nor_legacy_navy_01	wh_main_sc_nor_warp	false
wh_main_nor_legacy_navy_01	wh_main_sc_nor_fimir	false
wh_main_nor_legacy_01	wh_main_sc_nor_troll	true
wh_main_nor_legacy_navy_01	wh_main_sc_nor_troll	false
wh_main_nor_legacy_01	wh_main_sc_lzd_amazon	true
wh_main_nor_legacy_navy_01	wh_main_sc_lzd_amazon	false
wh_main_nor_legacy_01	wh_main_sc_emp_araby	true
wh_main_nor_legacy_navy_01	wh_main_sc_emp_araby	false
