id	building_superchain	slot_template
#slot_template_to_building_superchain_junctions_tables;0;db/slot_template_to_building_superchain_junctions_tables/ovn_Nehekharan		
76563454221	ovn_Nehekharan	wh2_main_special_khemri_secondary
76563454222	ovn_Nehekharan	wh2_dlc09_special_zandri_secondary
76563454223	ovn_Nehekharan	wh2_main_special_pyramid_of_nagash_secondary
76563454224	ovn_Nehekharan	wh2_main_special_pyramid_of_nagash_secondary_ritual
76563454225	ovn_Nehekharan	wh2_dlc09_special_numas_secondary
76563454226	ovn_Nehekharan	minor_secondary_spices_devils_backbone_lybaras
76563454227	ovn_Nehekharan	wh2_main_special_lahmia_secondary
76563454228	ovn_Nehekharan	wh2_dlc09_special_quatar_secondary
76563454229	ovn_Nehekharan	minor_secondary_iron_devils_backbone_mahrak
