unit_set_unit_attribute_junctions_tables	0
key	unit_attribute	unit_set
enable_stalk_falian	stalk	elo_albion_humans
enable_vanguard_falian	guerrilla_deploy	elo_albion_humans
enable_immpsy_finian	immune_to_psychology	elo_albion_humans
fimir_untamed_monsters_guerilla	guerrilla_deploy	fimir_untamed_monsters
fimir_untamed_monsters_rampage	rampage	fimir_untamed_monsters
elo_belakor_armoured_warriors_imm_psy	immune_to_psychology	elo_belakor_armoured_warriors
elo_belakor_corrupted_giants_fatigue_res	fatigue_res	elo_belakor_twisted_corrupted
elo_toostupid_psy	immune_to_psychology	dlc08_nor_trolls
elo_scourge_fat	fatigue_immune	elo_northern_scourge
elo_danger_gue	guerrilla_deploy	elo_danger_below
