id	building_superchain	slot_template
#slot_template_to_building_superchain_junctions_tables;0;db/slot_template_to_building_superchain_junctions_tables/ovn_wolf_golden_magus		
8310950	arb_flaming_scimitar_main	horde_primary
8310951	arb_flaming_scimitar_barracks	horde_secondary
8310952	arb_flaming_scimitar_support_monsters	horde_secondary
8310953	arb_flaming_scimitar_support_mages	horde_secondary
8310954	arb_flaming_scimitar_structure_movement	horde_secondary
8310955	arb_flaming_scimitar_structure_upkeep	horde_secondary
8310956	arb_flaming_scimitar_structure_replenishment	horde_secondary
8310957	arb_flaming_scimitar_structure_growth	horde_secondary
8310958	arb_flaming_scimitar_defense_bombardment	horde_secondary
8310959	arb_flaming_scimitar_unique_minaret	horde_secondary
8310960	arb_flaming_scimitar_defense_magical_bombardment	horde_secondary
