id	art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	religion	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
#campaign_character_arts_tables;7;db/campaign_character_arts_tables/ovn_rotbloods																	
1973488301	ribspreader	0	0		none	ribspreader			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_axe_and_shield	cam_light_ship_04	cam_heavy_ship_04		0	0	0
1973488302	nurgle_chs_ch_sorcerer_lord_campaign_01	0	0		none	nurgle_chs_ch_sorcerer_lord_campaign_01			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_heavy_ship_04	cam_heavy_ship_04		0	0	0
1973488303	nurgle_chs_ch_sorcerer_lord_campaign_02	0	0		none	nurgle_chs_ch_sorcerer_lord_campaign_02			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_heavy_ship_04	cam_heavy_ship_04		0	0	0
1973488304	nurgle_chs_ch_sorcerer_lord_campaign_03	0	0		none	nurgle_chs_ch_sorcerer_lord_campaign_03			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_heavy_ship_04	cam_heavy_ship_04		0	0	0
1973488305	nurgle_chs_ch_sorcerer_lord_campaign_04	0	0		none	nurgle_chs_ch_sorcerer_lord_campaign_04			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_heavy_ship_04	cam_heavy_ship_04		0	0	0
1973488306	nurgle_chs_ch_sorcerer_lord_campaign_01	0	0		none	nurgle_chs_ch_sorcerer_lord_campaign_01			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_light_ship_04	cam_heavy_ship_04		0	0	0
1973488307	nurgle_chs_ch_sorcerer_lord_campaign_02	0	0		none	nurgle_chs_ch_sorcerer_lord_campaign_02			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_light_ship_04	cam_heavy_ship_04		0	0	0
1973488308	nurgle_chs_ch_sorcerer_lord_campaign_03	0	0		none	nurgle_chs_ch_sorcerer_lord_campaign_03			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_light_ship_04	cam_heavy_ship_04		0	0	0
1973488309	nurgle_chs_ch_sorcerer_lord_campaign_04	0	0		none	nurgle_chs_ch_sorcerer_lord_campaign_04			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_light_ship_04	cam_heavy_ship_04		0	0	0
1973488310	nurgle_chs_ch_chaos_lord_campaign_01	0	0		none	nurgle_chs_ch_chaos_lord_campaign_01			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04		0	0	0
1973488311	nurgle_chs_ch_chaos_lord_campaign_02	0	0		none	nurgle_chs_ch_chaos_lord_campaign_02			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04		0	0	0
1973488312	nurgle_chs_ch_chaos_lord_campaign_03	0	0		none	nurgle_chs_ch_chaos_lord_campaign_03			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_sword_and_shield	cam_heavy_ship_04	cam_heavy_ship_04		0	0	0
1973488313	nurgle_chs_ch_sorcerer_campaign_01	0	0		none	nurgle_chs_ch_sorcerer_campaign_01			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_light_ship_04	cam_heavy_ship_04		0	0	0
1973488314	nurgle_chs_ch_sorcerer_campaign_02	0	0		none	nurgle_chs_ch_sorcerer_campaign_02			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_light_ship_04	cam_heavy_ship_04		0	0	0
1973488315	nurgle_chs_ch_sorcerer_campaign_03	0	0		none	nurgle_chs_ch_sorcerer_campaign_03			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_light_ship_04	cam_heavy_ship_04		0	0	0
1973488316	nurgle_chs_ch_sorcerer_campaign_04	0	0		none	nurgle_chs_ch_sorcerer_campaign_04			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_light_ship_04	cam_heavy_ship_04		0	0	0
1973488317	nurgle_chs_ch_sorcerer_campaign_01	0	0		none	nurgle_chs_ch_sorcerer_campaign_01			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_light_ship_04	cam_heavy_ship_04		0	0	0
1973488318	nurgle_chs_ch_sorcerer_campaign_02	0	0		none	nurgle_chs_ch_sorcerer_campaign_02			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_light_ship_04	cam_heavy_ship_04		0	0	0
1973488319	nurgle_chs_ch_sorcerer_campaign_03	0	0		none	nurgle_chs_ch_sorcerer_campaign_03			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_light_ship_04	cam_heavy_ship_04		0	0	0
1973488320	nurgle_chs_ch_sorcerer_campaign_04	0	0		none	nurgle_chs_ch_sorcerer_campaign_04			wh_main_campaign_chs_ship_light	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_light_ship_04	cam_heavy_ship_04		0	0	0
1973488321	nurgle_chs_ch_sorcerer_lord_campaign_01	0	0		none	nurgle_chs_ch_sorcerer_lord_campaign_01			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_heavy_ship_04	cam_heavy_ship_04		0	0	0
1973488322	nurgle_chs_ch_sorcerer_lord_campaign_02	0	0		none	nurgle_chs_ch_sorcerer_lord_campaign_02			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_heavy_ship_04	cam_heavy_ship_04		0	0	0
1973488323	nurgle_chs_ch_sorcerer_lord_campaign_03	0	0		none	nurgle_chs_ch_sorcerer_lord_campaign_03			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_heavy_ship_04	cam_heavy_ship_04		0	0	0
1973488324	nurgle_chs_ch_sorcerer_lord_campaign_04	0	0		none	nurgle_chs_ch_sorcerer_lord_campaign_04			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_heavy_ship_04	cam_heavy_ship_04		0	0	0
1973488325	nurgle_chs_ch_sorcerer_lord_campaign_01	0	0		none	nurgle_chs_ch_sorcerer_lord_campaign_01			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_heavy_ship_04	cam_heavy_ship_04		0	0	0
1973488326	nurgle_chs_ch_sorcerer_lord_campaign_02	0	0		none	nurgle_chs_ch_sorcerer_lord_campaign_02			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_heavy_ship_04	cam_heavy_ship_04		0	0	0
1973488327	nurgle_chs_ch_sorcerer_lord_campaign_03	0	0		none	nurgle_chs_ch_sorcerer_lord_campaign_03			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_heavy_ship_04	cam_heavy_ship_04		0	0	0
1973488328	nurgle_chs_ch_sorcerer_lord_campaign_04	0	0		none	nurgle_chs_ch_sorcerer_lord_campaign_04			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_heavy_ship_04	cam_heavy_ship_04		0	0	0
1973488329	nurgle_chs_ch_sorcerer_lord_campaign_01	0	0		none	nurgle_chs_ch_sorcerer_lord_campaign_01			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_heavy_ship_04	cam_heavy_ship_04		0	0	0
1973488330	nurgle_chs_ch_sorcerer_lord_campaign_02	0	0		none	nurgle_chs_ch_sorcerer_lord_campaign_02			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_heavy_ship_04	cam_heavy_ship_04		0	0	0
1973488331	nurgle_chs_ch_sorcerer_lord_campaign_03	0	0		none	nurgle_chs_ch_sorcerer_lord_campaign_03			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_heavy_ship_04	cam_heavy_ship_04		0	0	0
1973488332	nurgle_chs_ch_sorcerer_lord_campaign_04	0	0		none	nurgle_chs_ch_sorcerer_lord_campaign_04			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_hu1c_chaos_staff_and_sword	cam_heavy_ship_04	cam_heavy_ship_04		0	0	0
