custom_loading_screen_components_tables	0
component_id	custom_loading_screen_key	image_path
background	ovn_amz_amazons	ui/loading_ui/load_images/amazon_load.png
custom_quote	ovn_amz_amazons	
background	ovn_vor_amz_amazons	ui/loading_ui/load_images/amazon_load.png
custom_quote	ovn_vor_amz_amazons	
background	ovn_arb_aswad_scythans	ui/loading_ui/load_images/scythan_load.png
custom_quote	ovn_arb_aswad_scythans	
background	ovn_vor_arb_aswad_scythans	ui/loading_ui/load_images/scythan_load.png
custom_quote	ovn_vor_arb_aswad_scythans	
background	ovn_arb_caliphate_of_araby	ui/loading_ui/load_images/araby_load.png
custom_quote	ovn_arb_caliphate_of_araby	
background	ovn_vor_arb_caliphate_of_araby	ui/loading_ui/load_images/araby_load.png
custom_quote	ovn_vor_arb_caliphate_of_araby	
background	ovn_arb_flaming_scimitar	ui/loading_ui/load_images/scimitar_load.png
custom_quote	ovn_arb_flaming_scimitar	
background	ovn_vor_arb_flaming_scimitar	ui/loading_ui/load_images/scimitar_load.png
custom_quote	ovn_vor_arb_flaming_scimitar	
background	ovn_emp_grudgebringers	ui/loading_ui/load_images/grudge_load.png
custom_quote	ovn_emp_grudgebringers	
background	ovn_emp_the_moot	ui/loading_ui/load_images/halfling_load.png
custom_quote	ovn_emp_the_moot	
background	ovn_nor_albion	ui/loading_ui/load_images/albion_load.png
custom_quote	ovn_nor_albion	
background	ovn_vor_nor_albion	ui/loading_ui/load_images/albion_load.png
custom_quote	ovn_vor_nor_albion	
background	ovn_nor_trollz	ui/loading_ui/load_images/troll_load.png
custom_quote	ovn_nor_trollz	
background	ovn_wef_laurelorn	ui/loading_ui/load_images/campaign_7.png
custom_quote	ovn_wef_laurelorn	
background	ovn_wef_treeblood	ui/loading_ui/load_images/belakor_load.png
custom_quote	ovn_wef_treeblood	
background	wh2_main_hef_citadel_of_dusk	ui/loading_ui/load_images/stormrider_load.png
custom_quote	wh2_main_hef_citadel_of_dusk	
background	wh2_main_vor_hef_citadel_of_dusk	ui/loading_ui/load_images/stormrider_load.png
custom_quote	wh2_main_vor_hef_citadel_of_dusk	
background	wh2_main_cst_vampire_coast_mutineers	ui/loading_ui/load_images/campaign_17.png
custom_quote	wh2_main_cst_vampire_coast_mutineers	
background	wh2_main_vor_cst_vampire_coast_mutineers	ui/loading_ui/load_images/campaign_17.png
custom_quote	wh2_main_vor_cst_vampire_coast_mutineers	
background	ovn_vor_emp_grudgebringers	ui/loading_ui/load_images/grudge_load.png
custom_quote	ovn_vor_emp_grudgebringers	
