ui_unit_bullet_point_unit_overrides_tables	0
bullet_point	unit_key
expendable	elo_carrion_gobbo_bow
poor_morale	elo_carrion_gobbo_bow
troll_fodder	elo_carrion_gobbo_bow
vanguard_deployment	elo_carrion_gobbo_bow
vanguard_deployment	elo_carrion_squig_hoppers
troll_fodder	elo_carrion_squig_hoppers
poor_morale	elo_carrion_squig_hoppers
expendable	elo_carrion_squig_hoppers
vanguard_deployment	elo_carrion_gobbo_melee
troll_fodder	elo_carrion_gobbo_melee
poor_morale	elo_carrion_gobbo_melee
expendable	elo_carrion_gobbo_melee
armour_piercing	elo_night_trolls_ror
frenzy	elo_night_trolls_ror
vanguard_deployment	elo_night_trolls_ror
mocking_laughter	elo_night_trolls_ror
