id	choice_key	dilemma_key	payload_key	value
#cdir_events_dilemma_payloads_tables;2;db/cdir_events_dilemma_payloads_tables/ovn_dilemmas				
951701014	FIRST	ovn_dilemma_grudge_occupy	TREASURY	AMOUNT[-625]
951701015	FIRST	ovn_dilemma_grudge_occupy	grudge_hire_dummy	DURATION[1]
951701016	SECOND	ovn_dilemma_grudge_occupy	TREASURY	AMOUNT[-500]
951701017	SECOND	ovn_dilemma_grudge_occupy	grudge_replacements	DURATION[3]
951701018	THIRD	ovn_dilemma_grudge_occupy	grudge_camp_followers	DURATION[4]
951701019	SECOND	ovn_chaos_gipfel	TREASURY	AMOUNT[2000]
951701020	SECOND	ovn_chaos_gipfel	ovn_chaos_gipfel	DURATION[6]
951701021	FIRST	ovn_chaos_gipfel	ovn_chaos_gipfel_deny	DURATION[6]
951701022	THIRD	ovn_dilemma_grudge_occupy	TREASURY	AMOUNT[-375]
951701023	FOURTH	ovn_dilemma_grudge_occupy	TREASURY	AMOUNT[0]
951701024	THIRD	ovn_dilemma_grudge_occupy	ADD_ANCILLARY	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
951701025	FIRST	ovn_dilemma_rotblood_skit	ovn_dilemma_rotblood_skit	DURATION[5]
951701026	SECOND	ovn_dilemma_rotblood_skit	ovn_dilemma_rotblood_skit	DURATION[5]
951701027	THIRD	ovn_dilemma_rotblood_skit	ovn_dilemma_rotblood_skit	DURATION[5]
951701028	FIRST	ovn_dilemma_arb_excavation	ADD_ANCILLARY	RANDOM_ANCILLARY;TARGET_OWNING_FACTION
951701029	FIRST	ovn_dilemma_arb_excavation	TREASURY	AMOUNT[5000]
951701030	FIRST	ovn_dilemma_alb_alt_leader	ovn_dilemma_alb_current_leader	DURATION[1]
951701031	SECOND	ovn_dilemma_alb_alt_leader	ovn_dilemma_alb_alt_leader	DURATION[1]
951701032	FIRST	ovn_dilemma_moot_confed	FACTION_POOLED_RESOURCE_TRANSACTION	RESOURCE[emp_imperial_authority];FACTOR[wh2_dlc13_resource_factor_confederation];AMOUNT[-2]
951701033	FIRST	ovn_dilemma_moot_confed	TEXT_DISPLAY	LOOKUP[ovn_dilemma_moot_confed]
951701034	SECOND	ovn_dilemma_moot_confed	FACTION_POOLED_RESOURCE_TRANSACTION	RESOURCE[emp_prestige];FACTOR[wh2_dlc13_resource_factor_events];AMOUNT[200]
951701035	SECOND	ovn_dilemma_moot_confed	TEXT_DISPLAY	LOOKUP[ovn_dilemma_moot_confed_deny]
951701036	FIRST	ovn_dilemma_grudge_hire	TREASURY	AMOUNT[-4000]
951701037	FIRST	ovn_dilemma_grudge_hire	TEXT_DISPLAY	LOOKUP[ovn_dilemma_grudge_hire]
951701038	SECOND	ovn_dilemma_grudge_hire	FACTION_POOLED_RESOURCE_TRANSACTION	RESOURCE[emp_prestige];FACTOR[wh2_dlc13_resource_factor_events];AMOUNT[100]
951701039	SECOND	ovn_dilemma_grudge_hire	TEXT_DISPLAY	LOOKUP[ovn_dilemma_grudge_hire_deny]
951701040	FIRST	ovn_dilemma_grudge_hire_vortex	TREASURY	AMOUNT[-4000]
951701041	FIRST	ovn_dilemma_grudge_hire_vortex	TEXT_DISPLAY	LOOKUP[ovn_dilemma_grudge_hire]
951701042	SECOND	ovn_dilemma_grudge_hire_vortex	TEXT_DISPLAY	LOOKUP[ovn_dilemma_grudge_hire_deny]
