key	destroyed_model	destruction_animation	engine_type	gun_animation_table	missile_weapon	model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	first_person	destruct_model	destruct_anim	destruct_meta
#battlefield_engines_tables;19;db/battlefield_engines_tables/ovn_lost_factions_gold																
ovn_mtl_veh_reaper	warmachines\chariot\mtl_reaper\mtl_reaper_01_destroyed.rigid_model_v2	mtl_reaper_destruct	Generic_No_Crew_Rotate	wm_reaper01		mtl_reaper	ovn_mtl_reaper			ap_draughtposition	warmachines/chariot/mtl_reaper/tech					
dread_wh2_dlc09_tmb_chariot	warmachines\chariot\tmb_general_chariot\dread_legion_chariot_01_destroyed.rigid_model_v2	tmb_tomb_chariot_destruct	Generic_No_Crew_Rotate	wm_tomb_chariot01		dread_legion_chariot_01	wh2_dlc09_tmb_vehicle_chariot			ap_draughtposition	warmachines\chariot\tmb_basic_chariot\tech					
ovn_mtl_veh_chuckwagon	warmachines\carriage\mtl_chuckwagon\mtl_chuckwagon_destroyed_01.wsmodel	mtl_chuckwagon_destruct	Generic_No_Crew_Rotate	wm_war_altar01		mtl_chuckwagon	ovn_vehicle_chuckwagon			ap_draughtposition	warmachines\carriage\mtl_chuckwagon\tech					
ovn_arb_art_grand_bombard	warmachines\engines\arb_grand_bombard\arb_grand_bombard_01_destroyed.wsmodel	emp_great_cannon_destruct	Generic_3_Crew	wm_great_cannon01	ovn_arb_grand_bombard	arb_grand_bombard	ovn_arb_grand_bombard						emp_great_cannon			
ovn_arb_art_grand_bombard_ror	warmachines\engines\arb_grand_bombard\arb_grand_bombard_01_destroyed.wsmodel	emp_great_cannon_destruct	Generic_3_Crew	wm_great_cannon01	ovn_arb_grand_bombard_ror	arb_grand_bombard	ovn_arb_grand_bombard						emp_great_cannon			
wh_main_mtl_veh_soupcart	warmachines\engines\mtl_soupcart\mtl_soupcart_01_destroyed.wsmodel	emp_steam_tank_destruct	Generic_No_Crew_Fixed	wm_dlc13_wagon01_hellblaster	wh_main_mtl_soup_cannon	mtl_soupcart	wh_main_vehicle_soupcart			ap_draughtposition	warmachines\engines\mtl_soupcart\tech		emp_mortar	warmachines/chariot/emp_war_wagon/emp_war_wagon_helblaster_01_destruct.wsmodel	warmachines/chariot/emp_war_wagon/emp_war_wagon_helblaster_01_destruct.anim	warmachines\chariot\emp_war_wagon\emp_war_wagon_01_destruct.meta
ovn_mtl_art_hotpot	warmachines\engines\mtl_hotpot\mtl_hotpot_01_destroyed.wsmodel	mtl_hotpot_destruct	Generic_3_Crew	wm_bolt_thrower02	ovn_mtl_hotpot	mtl_hotpot	ovn_mtl_art_hotpot						wh_dlc06_dwf_art_bolt_thrower			
ovn_mtl_art_hotpot_ror	warmachines\engines\mtl_hotpot\mtl_hotpot_ror_01_destroyed.wsmodel	mtl_hotpot_ror_destruct	Generic_3_Crew	wm_bolt_thrower02	ovn_mtl_hotpot_ror	mtl_hotpot_ror	ovn_mtl_art_hotpot_ror						wh_dlc06_dwf_art_bolt_thrower			
ovn_arb_art_trebuchet	warmachines\engines\arb_trebuchet\arb_trebuchet_01_destroyed.rigid_model_v2	brt_trebuchet_destruct	Generic_3_Crew	wm_trebuchet01	wh_main_brt_trebuchet	arb_trebuchet	wh_main_brt_art_trebuchet						brt_field_trebuchet			
