campaign_key	faction_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;0;db/character_skill_level_details_tables/@cr_comradeship						
		1	ovn_skill_com_lord_unique_olorin_leader_of_halflings		x	7
		1	ovn_skill_com_lord_unique_olorin_the_grey_wizard_0		x	11
		1	ovn_skill_com_lord_unique_olorin_the_grey_wizard_1		x	0
		1	ovn_skill_com_lord_unique_olorin_the_grey_wizard_2		x	0
		1	ovn_skill_com_lord_unique_olorin_the_grey_wizard_3		x	0
		1	ovn_skill_com_lord_unique_olorin_the_grey_wizard_4		x	0
		1	ovn_skill_com_lord_unique_olorin_the_grey_wizard_5		x	0
		1	ovn_skill_com_hero_unique_aragand_the_layabout_0		x	5
		1	ovn_skill_com_hero_unique_aragand_the_layabout_1		x	0
		1	ovn_skill_com_hero_unique_aragand_the_layabout_2		x	0
		1	ovn_skill_com_hero_unique_aragand_the_layabout_3		x	0
		1	ovn_skill_com_hero_unique_aragand_the_layabout_4		x	0
		1	ovn_skill_com_hero_dance_legles_the_elf_0		x	5
		1	ovn_skill_com_hero_dance_legles_the_elf_1		x	5
		1	ovn_skill_com_hero_unique_legles_the_elf_0		x	0
		1	ovn_skill_com_hero_unique_legles_the_elf_1		x	0
		1	ovn_skill_com_hero_unique_legles_the_elf_2		x	0
		1	ovn_skill_com_hero_unique_legles_the_elf_3		x	0
		1	ovn_skill_com_hero_dance_legles_the_elf_2		x	0
		1	ovn_skill_com_hero_dance_legles_the_elf_3		x	0
		1	ovn_skill_com_hero_giblit_the_dwarf_0		x	5
		1	ovn_skill_com_hero_giblit_the_dwarf_1		x	0
		1	ovn_skill_com_hero_giblit_the_dwarf_2		x	0
		1	ovn_skill_com_hero_giblit_the_dwarf_3		x	0
		1	ovn_skill_com_hero_giblit_the_dwarf_4		x	0
		1	ovn_skill_com_hero_giblit_the_dwarf_5		x	0
