effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/elo_larenscheld		
enable_ghost_on_death	enable	larenscheld_ghost_on_death
enable_larenscheld_bombardment	enable	larenscheld_bombardment
enable_ghost_on_death_upgraded	enable	larenscheld_ghost_on_death_upgraded
disable_ghost_on_death	disable	larenscheld_ghost_on_death
larenscheld_change_at_will	enable	larenscheld_change_at_will
elo_hand_punished_one	enable	elo_hand_punished_one
elo_hungering_blade	enable	elo_hungering_blade
elo_hand_vortex	enable	elo_hand_vortex
elo_hand_judge_executioner	enable	elo_hand_judge_executioner
