ritual_payloads_tables	1
key	human_only
ovn_arb_crafting_weapons_01	false
ovn_arb_crafting_weapons_02	false
ovn_arb_crafting_weapons_03	false
ovn_arb_crafting_weapons_04	false
ovn_arb_crafting_weapons_05	false
ovn_arb_crafting_weapons_06	false
ovn_arb_crafting_weapons_07	false
ovn_arb_crafting_weapons_08	false
ovn_arb_crafting_weapons_09	false
ovn_arb_crafting_weapons_10	false
ovn_arb_crafting_weapons_11	false
ovn_arb_crafting_weapons_12	false
ovn_arb_crafting_armor_01	false
ovn_arb_crafting_armor_02	false
ovn_arb_crafting_armor_03	false
ovn_arb_crafting_armor_04	false
ovn_arb_crafting_armor_05	false
ovn_arb_crafting_armor_06	false
ovn_arb_crafting_armor_07	false
ovn_arb_crafting_armor_08	false
ovn_arb_crafting_armor_09	false
ovn_arb_crafting_armor_10	false
ovn_arb_crafting_armor_11	false
ovn_arb_crafting_armor_12	false
ovn_arb_crafting_enchanted_items_01	false
ovn_arb_crafting_enchanted_items_02	false
ovn_arb_crafting_enchanted_items_03	false
ovn_arb_crafting_enchanted_items_04	false
ovn_arb_crafting_enchanted_items_05	false
ovn_arb_crafting_enchanted_items_06	false
ovn_arb_crafting_enchanted_items_07	false
ovn_arb_crafting_enchanted_items_08	false
ovn_arb_crafting_enchanted_items_09	false
ovn_arb_crafting_enchanted_items_10	false
ovn_arb_crafting_enchanted_items_11	false
ovn_arb_crafting_enchanted_items_12	false
ovn_arb_crafting_talismans_01	false
ovn_arb_crafting_talismans_02	false
ovn_arb_crafting_talismans_03	false
ovn_arb_crafting_talismans_04	false
ovn_arb_crafting_talismans_05	false
ovn_arb_crafting_talismans_06	false
ovn_arb_crafting_talismans_07	false
ovn_arb_crafting_talismans_08	false
ovn_arb_crafting_talismans_09	false
ovn_arb_crafting_talismans_10	false
ovn_arb_crafting_talismans_11	false
ovn_arb_crafting_talismans_12	false
ovn_arb_crafting_arcane_items_01	false
ovn_arb_crafting_arcane_items_02	false
ovn_arb_crafting_arcane_items_03	false
ovn_arb_crafting_arcane_items_04	false
ovn_arb_crafting_arcane_items_05	false
ovn_arb_crafting_arcane_items_06	false
ovn_arb_crafting_arcane_items_07	false
ovn_arb_crafting_arcane_items_08	false
ovn_arb_crafting_arcane_items_09	false
ovn_arb_crafting_arcane_items_10	false
ovn_arb_crafting_arcane_items_11	false
ovn_arb_crafting_arcane_items_12	false
