culture_to_battle_animation_tables_tables	0
battle_animations_table	culture_pack
hu1b_hef_sword_and_bow	wh2_main_lzd_lizardmen
hu1b_elf_2handed_spear	wh2_main_lzd_lizardmen
hu1b_elf_2handed_spear	wh_main_emp_empire
hu1b_elf_2handed_spear	wh_main_brt_bretonnia
hu1b_elf_sword_and_bow	wh2_main_lzd_lizardmen
hu1d_elf_hr1_warhorse_sword_bow	wh2_main_lzd_lizardmen
hu1b_elf_bi1_eagle_wb_sword	wh2_main_lzd_lizardmen
hu1b_elf_bi1_eagle_wb_sword_and_bow	wh2_main_lzd_lizardmen
hu1b_elf_dr1_dragon_wb_sword_and_bow	wh2_main_lzd_lizardmen
