campaign_key	faction_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;0;db/character_skill_level_details_tables/@cr_magicians						
		1	ovn_skill_arb_all_unique_ward_of_the_one		x	7
		1	ovn_skill_arb_magician_unique_magician_life_magic_carpet		x	6
		1	ovn_skill_arb_magician_unique_magician_life_djinn_vessel		x	10
		1	ovn_skill_arb_magician_unique_magician_desert_magic_carpet		x	6
		1	ovn_skill_arb_magician_unique_magician_desert_djinn_vessel		x	10
		1	ovn_skill_arb_magician_unique_magician_fire_magic_carpet		x	6
		1	ovn_skill_arb_magician_unique_magician_fire_djinn_vessel		x	10
		1	ovn_skill_arb_magician_unique_magician_heavens_magic_carpet		x	6
		1	ovn_skill_arb_magician_unique_magician_heavens_djinn_vessel		x	10
