faction_agent_permitted_subtypes_tables	0
agent	faction	subtype
champion	wh2_main_nor_harbingers_of_doom	chs_exalted_hero
colonel	wh2_main_nor_harbingers_of_doom	aky_chief_fimir_great_weapons
dignitary	wh2_main_nor_harbingers_of_doom	wh_dlc08_nor_fimir_balefiend_fire
dignitary	wh2_main_nor_harbingers_of_doom	wh_dlc08_nor_fimir_balefiend_shadow
engineer	wh2_main_nor_harbingers_of_doom	default
general	wh2_main_nor_harbingers_of_doom	aky_chief_fimir_great_weapons
minister	wh2_main_nor_harbingers_of_doom	default
spy	wh2_main_nor_harbingers_of_doom	default
runesmith	wh2_main_nor_harbingers_of_doom	wh2_dlc15_grn_river_troll_hag
wizard	wh2_main_nor_harbingers_of_doom	grn_night_goblin_shaman
general	wh2_main_nor_harbingers_of_doom	chs_lord
general	wh2_main_nor_harbingers_of_doom	chs_sorcerer_lord_death
general	wh2_main_nor_harbingers_of_doom	chs_sorcerer_lord_fire
general	wh2_main_nor_harbingers_of_doom	chs_sorcerer_lord_metal
general	wh2_main_nor_harbingers_of_doom	dlc07_chs_sorcerer_lord_shadow
