missile_weapons_tables	11
key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
ovn_arb_flying_carpet_naphtha	false	ovn_arb_flying_carpet_naphtha		false
ovn_arb_flying_carpet_bow	false	ovn_arb_flying_carpet_arrow	bow	false
ovn_arb_flying_carpet_bow_ror	false	ovn_arb_flying_carpet_arrow_ror	bow	false
ovn_trl_throwing_bone	false	ovn_trl_throwing_bone	none	false
ovn_arb_elephant_cannon	false	ovn_arb_elephant_cannon_ball	cannon	false
ovn_com_firework_rocket	false	ovn_com_firework_rocket	rocket_battery	false
ovn_com_firework_rocket_upgraded	false	ovn_com_firework_rocket_upgraded	rocket_battery	false
ovn_arb_grand_bombard	false	ovn_arb_grand_bombard_projectile	great_cannon	false
ovn_arb_grand_bombard_ror	false	ovn_arb_grand_bombard_projectile_ror	great_cannon	false
wh_main_mtl_soup_cannon	false	wh_main_mtl_soup_projectile	flame_cannon	false
ovn_mtl_hotpot	false	ovn_mtl_hotpot_projectile	flame_cannon	false
ovn_mtl_hotpot_ror	false	ovn_mtl_hotpot_ror_projectile	flame_cannon	false
ovn_fim_javelin	false	ovn_fim_javelin	javelin	false
wh_main_arb_carpet_bow	false	wh_arb_carpet_arrow	bow	false
ovn_fimir_gaze	false	ovn_bound_spell_fimir_gaze	luminark	false
giant_boulder	false	giant_boulder		false
araby_nomad_ranger_bow	false	araby_nomad_ranger_arrow	bow	false
roy_arb_nomard_bow	false	roy_arb_nomad_bow_arrow		false
ovn_jezzail_nomad	false	ovn_jezzail_bullet_nomad		false
grudge_main_emp_cannon	false	grudge_cannon_ball	great_cannon	false
wh_main_gru_crossbow	false	wh_gru_crossbow_bolt	crossbow	false
ovn_jezzail	false	ovn_jezzail_bullet	repeater_rifle	false
ovn_jezzail_ror	false	ovn_jezzail_bullet_ror	repeater_rifle	false
javelins_anti_shield	false	javelins_anti_shield	javelin	false
stonethrower_rock	false	stonethrower_rock		false
albion_hunting_bow	false	albion_hunting_bow	bow	false
albion_riders_javelins	false	albion_riders_javelins	javelin	false
albion_warden_bow	false	albion_warden_bow	bow	false
centaur_hunter_axes	false	centaur_hunter_axes		false
giant_boulder_cachtorr	false	giant_boulder_cachtorr		false
carrion_bow	false	carrion_bow	bow	false
militia_crossbow	false	militia_crossbow	bow	false
crossbow_light_halfling	false	crossbow_light_halfling	bow	false
tomb_guardian_archer	false	tomb_guardian_archer	bow	false
amazon_bow	false	amazon_arrow	bow	false
grudge_wh_main_dwf_cannon	false	grudge_wh_dwf_cannon_ball	cannon	false
grudge_wh_main_emp_cannon	false	grudge_wh_emp_great_cannon_ball	great_cannon	false
grudge_wh_main_emp_mortar	false	grudge_wh_emp_mortar_shell	mortar	false
grudge_wh_dlc05_wef_waywatchers_bow	false	wh_dlc05_wef_waywatchers_arrow	bow	false
arb_fatandira_bow	false	arb_fatandira_bow_arrow	bow_LH	false
hlf_glibfoot_hyshia_weapon	false	hlf_glibfoot_hyshia_bolt	crossbow_LH	false
hlf_crossbow_fieldwarden	false	hlf_crossbow_fieldwarden_arrow	crossbow	false
wh_main_dwf_dwarf_tank_cannon_ball	false	wh_dwf_dwarf_tank_cannon_ball	cannon	false
wh_main_dwf_dwarf_tank_steam_gun	false	wh_dwf_dwarf_tank_steam_shot	steamgun_tank	true
hotpot	false	hotpot	cannon	false
