ancillaries_included_agent_subtypes_tables	0
agent_subtype	ancillary
arb_magician_life	ovn_anc_mount_arb_magician_life_magic_carpet
arb_magician_life	ovn_anc_mount_arb_magician_life_djinn_vessel
arb_magician_desert	ovn_anc_mount_arb_magician_desert_magic_carpet
arb_magician_desert	ovn_anc_mount_arb_magician_desert_djinn_vessel
arb_magician_fire	ovn_anc_mount_arb_magician_fire_magic_carpet
arb_magician_fire	ovn_anc_mount_arb_magician_fire_djinn_vessel
arb_magician_heavens	ovn_anc_mount_arb_magician_heavens_magic_carpet
arb_magician_heavens	ovn_anc_mount_arb_magician_heavens_djinn_vessel
Dread_King	dread_zombie_dragon
Dread_King	Soulreaper
Sultan_Jaffar	Serpent_Staff
Sultan_Jaffar	Black_Book_Of_Ibn_Naggazar
aky_chief_wolf_werekin	aky_chief_wolf_terrorgheist
roy_arb_nomad	roy_anc_mount_arb_nomad_horse
roy_arb_champion	roy_anc_mount_arb_champion_horse
roy_arb_champion	roy_anc_mount_arb_champion_warhorse
roy_arb_champion	roy_anc_mount_arb_champion_elephant
ovn_araby_ll	roy_anc_mount_arb_lord_horse
roy_arb_nomad	roy_anc_mount_arb_nomad_assassin
roy_arb_nomad	roy_anc_mount_arb_nomad_horse_jezzail
ovn_araby_ll	sword
ovn_araby_ll	Helm
ovn_araby_ll	Mount
ovn_araby_ll	Mount_Elephant
ovn_araby_ll	rattlesnake_staff
ovn_araby_ll	Talisman
belakor	the_blade_of_shadows
albion_warleader	mount_horse_warleader
albion_warleader	mount_chariot_warleader
albion_truthsayer_beast	mount_horse_truthsayer_beasts
albion_truthsayer_light	mount_horse_truthsayer_light
albion_truthsayer_life	mount_horse_truthsayer_life
albion_truthsayer_truth	mount_horse_truthsayer_truth
albion_chief	mount_horse_chief
albion_chief	mount_chariot_chief
albion_wyrd_druid	mount_horse_wyrd
albion_morrigan	mount_raven_morrigan
elo_dread_centurion	dread_chariot_skeletal_steed
elo_dread_centurion	dread_legion_barded_skeletal_steed
elo_dread_centurion	elo_dread_centurion_horse
elo_dread_larenscheld	luthor_the_hunchback
elo_liche_general	mount_barded_skeletal_steed_liche
elo_liche_general	mount_chariot_liche
elo_liche_general	mount_warsphinx_liche
elo_hand_of_nagash	mount_chariot_hand_of_nagash
ovn_hlf_ll	hlf_staff
ovn_hlf_ll	hlf_robe
morgan_bernhardt	grudge_item_horn_of_urgok
vladimir_stormbringer	grudge_item_horn_of_urgok
morgan_bernhardt	grudge_item_grudgebringer_sword
vladimir_stormbringer	grudge_item_grudgebringer_sword
morgan_bernhardt	grudge_item_hellfire_sword
vladimir_stormbringer	grudge_item_hellfire_sword
morgan_bernhardt	grudge_item_storm_sword
vladimir_stormbringer	grudge_item_storm_sword
morgan_bernhardt	grudge_item_runefang
vladimir_stormbringer	grudge_item_runefang
morgan_bernhardt	grudge_item_enchanted_shield
morgan_bernhardt	grudge_item_shield_of_ptolos
morgan_bernhardt	grudge_item_spelleater_shield
morgan_bernhardt	grudge_item_dragonhelm
vladimir_stormbringer	grudge_item_dragonhelm
vladimir_stormbringer	grudge_item_wand_of_jet
morgan_bernhardt	grudge_item_banner_of_arcane_warding
vladimir_stormbringer	grudge_item_banner_of_arcane_warding
morgan_bernhardt	grudge_item_banner_of_wrath
vladimir_stormbringer	grudge_item_banner_of_wrath
morgan_bernhardt	grudge_item_banner_of_defiance
vladimir_stormbringer	grudge_item_banner_of_defiance
arb_vizier_fire_0	wh_main_anc_mount_arb_vizier_fire_camel
arb_vizier_fire_0	wh_main_anc_mount_arb_vizier_fire_carpet
arb_vizier_life_0	wh_main_anc_mount_arb_vizier_life_camel
arb_vizier_life_0	wh_main_anc_mount_arb_vizier_life_carpet
arb_vizier_heavens_0	wh_main_anc_mount_arb_vizier_heavens_camel
arb_vizier_heavens_0	wh_main_anc_mount_arb_vizier_heavens_carpet
arb_vizier_desert_0	wh_main_anc_mount_arb_vizier_desert_camel
arb_vizier_desert_0	wh_main_anc_mount_arb_vizier_desert_carpet
fim_meargh_skattach	fim_meargh_skattach_staff_balor
fim_meargh_skattach	fim_meargh_skattach_hellmother_crown
ribspreader	ribspreader_mammoth
ribspreader	ribspreader_weapon
ovn_stormrider	ovn_as_starblade
ovn_stormrider	ovn_as_armour
ovn_stormrider	ovn_as_Hoeth_Talisman
ovn_stormrider	anc_sharpclaw
arb_fatandira	arb_fatandira_warhorse
arb_fatandira	arb_fatandira_roc
arb_fatandira	arb_fatandira_blades_demise
arb_fatandira	arb_fatandira_scythan_armour
arb_golden_magus	arb_golden_magus_fire_scimitar
arb_golden_magus	arb_golden_magus_auric_robe
arb_golden_magus	arb_golden_magus_camel_mount
arb_golden_magus	arb_golden_magus_djinnskiff_mount
ovn_hlf_glibfoot	hlf_glibfoot_hyshia
ovn_hlf_glibfoot	hlf_glibfoot_willowblade
ovn_hlf_moot_general	ovn_wolf_anc_mount_hlf_moot_general_poultry
ovn_hlf_master_chef	ovn_wolf_anc_mount_hlf_master_chef_wagon
ovn_hlf_sheriff	ovn_wolf_anc_mount_hlf_sheriff_pig
elo_boglar_shaman	anc_boglar_shaman_hound
vmp_cha_walach	anc_mount_vmp_walach_barded_nightmare
vmp_cha_walach	ovn_bd_blood_chalice
vmp_cha_walach	ovn_bd_crimson_blade
vmp_cha_walach	ovn_anc_magic_standard_blood_dragon
ovn_com_olorin_the_grey_wizard	ovn_anc_weapon_glammyding
ovn_com_olorin_the_grey_wizard	ovn_anc_talisman_bottomless_hat_of_rabbit
ovn_com_olorin_the_grey_wizard	ovn_anc_arcane_item_cathay_fireworks
ovn_com_aragand_the_layabout	ovn_anc_weapon_aragands_sword
ovn_com_aragand_the_layabout	ovn_anc_enchanted_item_pig_swill
ovn_com_legles_the_elf	ovn_anc_talisman_friendship_bracelet_legles
ovn_com_legles_the_elf	ovn_anc_enchanted_item_ring_of_concealment
ovn_com_giblit_the_dwarf	ovn_anc_talisman_friendship_bracelet_giblit
ovn_com_giblit_the_dwarf	ovn_anc_enchanted_item_bimbos_book
