Loc PackedFile	1
key	text	tooltip
character_skills_localised_description_liche_immortality	The liche has discarded their life to achieve an existance as an immortal undead. As long as their will remains unbroken, they are almost impossible to destroy permanently.	true
character_skills_localised_name_liche_immortality	Immortality in Death	true
character_skills_localised_description_mount_barded_skeletal_steed_liche	The fragile bones are protected by legion armour.	true
character_skills_localised_name_mount_barded_skeletal_steed_liche	Barded Skeletal Steed	true
character_skills_localised_description_mount_chariot_liche	Built in the style of the Tomb Kings, only the highest officers of the Dread Legion will take to the battlefield on top of this chariot.	true
character_skills_localised_name_mount_chariot_liche	Dread Legion Chariot	true
character_skills_localised_description_mount_warsphinx_liche	Giant leonine statues, almost impervious to harm; they wade through foes, crushing them like bothersome insects.	true
character_skills_localised_name_mount_warsphinx_liche	Khemrian Warsphinx	true
character_skills_localised_description_elo_liche_traitor_king	Not all kings of Nehekara stand against Nagash. Some have been seduced by the power Nagash offers his loyal subjects.	true
character_skills_localised_name_elo_liche_traitor_king	Origin: Traitor King	true
character_skills_localised_description_elo_liche_necromancer	Necromancers follow in the footsteps of Nagash, but none ever reached his mastery. For many, this pursuit ends in the service of Nagash and for the most talented few, in lichedom.	true
character_skills_localised_name_elo_liche_necromancer	Origin: Necromancer	true
character_skills_localised_description_elo_follower_nagash	Through his disciples, Nagash increases his influence on the world of the living. And where Nagash has influence, the dead will not find any rest.	true
character_skills_localised_name_elo_follower_nagash	Disciple of Nagash	true
character_skills_localised_description_elo_liche_general_legion	In life he marched ahead as one of the generals of the Dread Legion and even in death the soldiers heed his commands.	true
character_skills_localised_name_elo_liche_general_legion	Origin: General of the Legion	true
character_skills_localised_description_elo_call_the_legions	Countless Legions lay beneath the sands, waiting for Nagash or his servants to call them back to battle the living.	true
character_skills_localised_name_elo_call_the_legions	Call the Legions	true
