ancillary_included_subcultures_tables	0
ancillary	subculture
albion_hunting_dog	wh_main_sc_nor_albion
albion_lone_huntress	wh_main_sc_nor_albion
albion_woad_raider	wh_main_sc_nor_albion
albion_tame_raven	wh_main_sc_nor_albion
albion_druid_advisor	wh_main_sc_nor_albion
albion_chief	wh_main_sc_nor_albion
albion_old_warrior	wh_main_sc_nor_albion
albion_scavanger	wh_main_sc_nor_albion
albion_woman	wh_main_sc_nor_albion
fenbeast_follower	wh_main_sc_nor_albion
hearthguard_follower	wh_main_sc_nor_albion
druid_neophyte	wh_main_sc_nor_albion
albion_hardened_warrior	wh_main_sc_nor_albion
albion_scary_banner	wh_main_sc_nor_albion
anc_albion_triskele_banner	wh_main_sc_nor_albion
anc_danu_banner	wh_main_sc_nor_albion
anc_albion_hunter_banner	wh_main_sc_nor_albion
anc_albion_staff_of_light	wh_main_sc_nor_albion
anc_albion_talisman_triskele	wh_main_sc_nor_albion
anc_albion_hammer_giant	wh_main_sc_nor_albion
anc_hunter_spear	wh_main_sc_nor_albion
anc_dagger_shadow	wh_main_sc_nor_albion
anc_albion_chainmail	wh_main_sc_nor_albion
anc_albion_helmet_leader	wh_main_sc_nor_albion
anc_albion_talisman_danu	wh_main_sc_nor_albion
anc_albion_talisman_belakor	wh_main_sc_nor_albion
anc_albion_scepter_old_ones	wh_main_sc_nor_albion
anc_albion_staff_of_darkness	wh_main_sc_nor_albion
anc_albion_ogham_shard	wh_main_sc_nor_albion
anc_albion_hound_statue	wh_main_sc_nor_albion
anc_albion_skull_trophies	wh_main_sc_nor_albion
wh_main_anc_follower_all_student	wh_main_sc_nor_albion
mount_horse_warleader	wh_main_sc_nor_albion
mount_chariot_warleader	wh_main_sc_nor_albion
mount_horse_truthsayer_beasts	wh_main_sc_nor_albion
mount_horse_truthsayer_light	wh_main_sc_nor_albion
mount_horse_truthsayer_life	wh_main_sc_nor_albion
mount_horse_truthsayer_truth	wh_main_sc_nor_albion
mount_horse_chief	wh_main_sc_nor_albion
mount_chariot_chief	wh_main_sc_nor_albion
mount_horse_wyrd	wh_main_sc_nor_albion
mount_raven_morrigan	wh_main_sc_nor_albion
anc_morrigan_staff	wh_main_sc_nor_albion
