special_ability_to_invalid_usage_flags_tables	0
invalid_usage_flag	special_ability
army_is_full	ovn_spell_desert_mirage
army_is_full	ovn_spell_desert_mirage_upgraded
climbing_manning_eq_on_platform	ovn_spell_desert_mirage
climbing_manning_eq_on_platform	ovn_spell_desert_mirage_upgraded
climbing	ovn_spell_desert_sunstrike
climbing	ovn_spell_desert_sunstrike_upgraded
climbing	ovn_spell_desert_sandstorm
climbing	ovn_spell_desert_sandstorm_upgraded
climbing	ovn_spell_desert_quicksand
climbing	ovn_spell_desert_quicksand_upgraded
climbing	ovn_spell_desert_burning_hands
climbing	ovn_spell_desert_burning_hands_upgraded
climbing	ovn_spell_desert_curse_of_the_djinn
climbing	ovn_spell_desert_curse_of_the_djinn_upgraded
manning_equipment	ovn_spell_desert_sunstrike
manning_equipment	ovn_spell_desert_sunstrike_upgraded
manning_equipment	ovn_spell_desert_sandstorm
manning_equipment	ovn_spell_desert_sandstorm_upgraded
manning_equipment	ovn_spell_desert_quicksand
manning_equipment	ovn_spell_desert_quicksand_upgraded
manning_equipment	ovn_spell_desert_burning_hands
manning_equipment	ovn_spell_desert_burning_hands_upgraded
manning_equipment	ovn_spell_desert_curse_of_the_djinn
manning_equipment	ovn_spell_desert_curse_of_the_djinn_upgraded
